data_aplicaçao,data_atualizacao,tipo,media_tempo_gasto,total
2021-02-19,2021-06-29,inconsistent,0,2
2021-02-19,2021-06-29,consistent,2,1292
2021-02-18,2021-06-29,inconsistent,0,4
2021-02-18,2021-06-29,consistent,2,2134
2021-02-17,2021-06-29,inconsistent,0,8
2021-02-17,2021-06-29,consistent,2,1807
2021-02-16,2021-06-29,inconsistent,0,8
2021-02-16,2021-06-29,consistent,2,942
2021-02-14,2021-06-29,consistent,0,167
2021-02-13,2021-06-29,inconsistent,0,2
2021-02-13,2021-06-29,consistent,0,323
2021-02-12,2021-06-29,inconsistent,0,8
2021-02-12,2021-06-29,consistent,1,786
2021-02-11,2021-06-29,inconsistent,0,9
2021-02-11,2021-06-29,consistent,0,667
2021-02-10,2021-06-29,consistent,0,833
2021-02-09,2021-06-29,consistent,0,576
2021-02-08,2021-06-29,inconsistent,0,4
2021-02-08,2021-06-29,consistent,1,961
2021-02-07,2021-06-29,inconsistent,0,3
2021-02-07,2021-06-29,consistent,0,75
2021-02-06,2021-06-29,inconsistent,0,4
2021-02-06,2021-06-29,consistent,0,206
2021-02-05,2021-06-29,consistent,0,578
2021-02-04,2021-06-29,inconsistent,0,4
2021-02-04,2021-06-29,consistent,0,607
2021-02-03,2021-06-29,inconsistent,0,6
2021-02-03,2021-06-29,consistent,0,872
2021-02-02,2021-06-29,inconsistent,0,4
2021-02-02,2021-06-29,consistent,0,553
2021-02-01,2021-06-29,inconsistent,0,6
2021-02-01,2021-06-29,consistent,1,869
2021-01-31,2021-06-29,consistent,0,160
2021-01-30,2021-06-29,inconsistent,0,2
2021-01-30,2021-06-29,consistent,1,700
2021-01-29,2021-06-29,inconsistent,0,6
2021-01-29,2021-06-29,consistent,1,1674
2021-01-28,2021-06-29,inconsistent,0,6
2021-01-28,2021-06-29,consistent,0,1007
2021-01-27,2021-06-29,consistent,1,1264
2021-01-26,2021-06-29,inconsistent,0,8
2021-01-26,2021-06-29,consistent,1,1201
2021-01-25,2021-06-29,inconsistent,0,10
2021-01-25,2021-06-29,consistent,1,936
2021-01-24,2021-06-29,consistent,0,98
2021-01-23,2021-06-29,inconsistent,0,8
2021-01-23,2021-06-29,consistent,0,206
2021-01-22,2021-06-29,inconsistent,0,14
2021-01-22,2021-06-29,consistent,1,1158
2021-01-21,2021-06-29,inconsistent,0,14
2021-01-21,2021-06-29,consistent,1,1654
2021-01-20,2021-06-29,inconsistent,0,6
2021-01-20,2021-06-29,consistent,1,1140
2021-01-19,2021-06-29,inconsistent,0,2
2021-01-19,2021-06-29,consistent,0,53
2021-01-18,2021-06-29,consistent,0,1
2020-03-23,2021-06-29,wrong_date,0,2
