data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-06-29,2021-04-04,inconsistent,0,6
2021-06-29,2021-04-04,consistent,1,324
2021-06-29,2021-04-03,consistent,2,1426
2021-06-29,2021-04-02,inconsistent,0,2
2021-06-29,2021-04-02,consistent,1,460
2021-06-29,2021-04-01,consistent,4,3561
2021-06-29,2021-03-31,inconsistent,0,14
2021-06-29,2021-03-31,consistent,5,3821
2021-06-29,2021-03-30,inconsistent,0,4
2021-06-29,2021-03-30,consistent,5,4253
2021-06-29,2021-03-29,inconsistent,0,2
2021-06-29,2021-03-29,consistent,5,3129
