data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-06-30,2021-03-08,inconsistent,0,31
2021-06-30,2021-03-08,consistent,2,4193
2021-06-30,2021-03-10,inconsistent,0,32
2021-06-30,2021-03-09,inconsistent,0,58
2021-06-30,2021-03-10,consistent,2,4442
2021-06-30,2021-03-09,consistent,2,4330
2021-06-30,2021-03-11,inconsistent,0,32
2021-06-30,2021-03-11,consistent,2,6591
2021-06-30,2021-03-12,inconsistent,0,64
2021-06-30,2021-03-12,consistent,2,5761
2021-06-30,2021-03-13,inconsistent,0,6
2021-06-30,2021-03-13,consistent,2,1923
2021-07-01,2021-03-14,inconsistent,0,2
2021-07-01,2021-03-14,consistent,2,580
