data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-06-30,2021-02-13,inconsistent,0,10
2021-06-30,2021-02-13,consistent,1,4443
2021-06-30,2021-02-12,inconsistent,0,174
2021-06-30,2021-02-12,consistent,1,8290
2021-06-30,2021-02-11,inconsistent,0,51
2021-06-30,2021-02-11,consistent,1,8842
2021-06-30,2021-02-10,inconsistent,0,82
2021-06-30,2021-02-10,consistent,2,12940
2021-06-30,2021-02-09,inconsistent,0,61
2021-06-30,2021-02-09,consistent,3,18697
2021-06-30,2021-02-08,inconsistent,0,54
2021-06-30,2021-02-08,consistent,3,17405
2021-06-30,2021-02-08,inconsistent,0,54
2021-06-30,2021-02-09,inconsistent,0,61
2021-06-30,2021-02-08,consistent,3,17405
2021-06-30,2021-02-09,consistent,3,18697
2021-06-30,2021-02-10,inconsistent,0,82
2021-06-30,2021-02-11,inconsistent,0,51
2021-06-30,2021-02-12,inconsistent,0,174
2021-06-30,2021-02-13,inconsistent,0,10
2021-06-30,2021-02-10,consistent,2,12940
2021-06-30,2021-02-11,consistent,2,8842
2021-06-30,2021-02-12,consistent,1,8290
2021-06-30,2021-02-13,consistent,1,4443
2021-06-30,2021-02-14,inconsistent,0,9
2021-06-30,2021-02-14,consistent,2,1542
