data_aplicaçao,data_atualizacao,tipo,media_tempo_gasto,total
2021-07-02,2021-07-03,consistent,2,585
2021-07-01,2021-07-03,consistent,2,778
2021-06-30,2021-07-03,consistent,3,832
2021-06-29,2021-07-03,consistent,2,1471
2021-06-28,2021-07-03,consistent,2,1380
2021-06-27,2021-07-03,inconsistent,0,2
2021-06-27,2021-07-03,consistent,2,841
2021-06-26,2021-07-03,consistent,2,1341
2021-06-25,2021-07-03,consistent,2,1722
2021-06-24,2021-07-03,consistent,3,1916
2021-06-23,2021-07-02,consistent,2,2676
2021-06-22,2021-07-02,consistent,3,1990
2021-06-21,2021-07-03,inconsistent,0,2
2021-06-21,2021-07-03,consistent,2,3003
2021-06-20,2021-07-03,consistent,2,564
2021-06-19,2021-07-03,consistent,3,2599
2021-06-18,2021-07-01,inconsistent,0,18
2021-06-18,2021-07-01,consistent,2,2875
2021-06-17,2021-07-01,inconsistent,0,12
2021-06-17,2021-07-01,consistent,2,3197
2021-06-16,2021-07-01,inconsistent,0,28
2021-06-16,2021-07-01,consistent,2,4288
2021-06-15,2021-07-01,consistent,2,3439
2021-06-14,2021-07-01,inconsistent,0,6
2021-06-14,2021-07-01,consistent,2,3809
2021-06-13,2021-07-01,consistent,2,610
2021-06-12,2021-07-01,inconsistent,0,2
2021-06-12,2021-07-01,consistent,2,3106
2021-06-11,2021-07-01,inconsistent,0,2
2021-06-11,2021-07-01,consistent,4,7057
2021-06-10,2021-07-01,inconsistent,0,4
2021-06-10,2021-07-01,consistent,3,3119
2021-06-09,2021-07-01,consistent,2,3175
2021-06-08,2021-07-01,inconsistent,0,8
2021-06-08,2021-07-01,consistent,2,2733
2021-06-07,2021-07-01,consistent,2,2500
2021-06-06,2021-07-01,inconsistent,0,2
2021-06-06,2021-07-01,consistent,2,1314
2021-06-05,2021-07-01,inconsistent,0,4
2021-06-05,2021-07-01,consistent,2,960
2021-06-04,2021-07-01,inconsistent,0,4
2021-06-04,2021-07-01,consistent,2,1804
2021-06-03,2021-07-01,consistent,1,302
2021-06-02,2021-07-01,consistent,2,1449
2021-06-01,2021-07-01,inconsistent,0,16
2021-06-01,2021-07-01,consistent,2,2100
2021-05-31,2021-07-01,consistent,2,2092
2021-05-30,2021-07-01,consistent,2,162
2021-05-29,2021-07-01,consistent,2,1434
2021-05-28,2021-07-01,inconsistent,0,2
2021-05-28,2021-07-01,consistent,2,2451
2021-05-27,2021-07-01,consistent,2,1965
2021-05-26,2021-07-01,inconsistent,0,4
2021-05-26,2021-07-01,consistent,2,1980
2021-05-25,2021-07-01,consistent,2,1314
2021-05-24,2021-07-01,consistent,2,1383
2021-05-23,2021-07-01,consistent,2,215
2021-05-22,2021-07-01,inconsistent,0,2
2021-05-22,2021-07-01,consistent,2,882
2021-05-21,2021-07-01,consistent,3,1903
2021-05-20,2021-07-01,consistent,2,1101
2021-05-19,2021-07-01,inconsistent,0,2
2021-05-19,2021-07-01,consistent,2,1264
2021-05-18,2021-07-01,inconsistent,0,2
2021-05-18,2021-07-01,consistent,3,4025
2021-05-17,2021-07-01,consistent,2,2595
2021-05-16,2021-07-01,consistent,2,854
2021-05-15,2021-07-01,inconsistent,0,2
2021-05-15,2021-07-01,consistent,4,7243
2021-05-14,2021-07-01,consistent,3,4130
2021-05-13,2021-07-01,inconsistent,0,6
2021-05-13,2021-07-01,consistent,3,2496
2021-05-12,2021-07-01,consistent,3,3103
2021-05-11,2021-07-01,inconsistent,0,2
2021-05-11,2021-07-01,consistent,2,2586
2021-05-10,2021-07-01,consistent,2,952
2021-05-09,2021-07-01,consistent,2,10
2021-05-08,2021-07-01,consistent,2,1773
