data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-06-30,2021-02-15,inconsistent,0,10
2021-06-30,2021-02-16,inconsistent,0,4
2021-06-30,2021-02-15,consistent,2,737
2021-06-30,2021-02-16,consistent,2,702
2021-06-30,2021-02-17,inconsistent,0,4
2021-06-30,2021-02-17,consistent,2,2035
2021-06-30,2021-02-18,inconsistent,0,24
2021-06-30,2021-02-18,consistent,2,2387
2021-06-30,2021-02-20,consistent,2,636
2021-06-30,2021-02-21,consistent,2,110
2021-06-30,2021-02-19,inconsistent,0,20
2021-06-30,2021-02-19,consistent,3,1803
