data_aplicaçao,data_atualizacao,tipo,media_tempo_gasto,total
2021-02-24,2021-06-30,inconsistent,0,568
2021-02-24,2021-06-30,consistent,2,9515
2021-02-23,2021-06-30,inconsistent,0,2220
2021-02-23,2021-06-30,consistent,2,16678
2021-02-22,2021-06-30,inconsistent,0,1116
2021-02-22,2021-06-30,consistent,3,23682
2021-02-21,2021-06-30,inconsistent,0,22
2021-02-21,2021-06-30,consistent,2,307
2021-02-20,2021-06-30,inconsistent,0,110
2021-02-20,2021-06-30,consistent,2,3207
2021-02-19,2021-06-30,inconsistent,0,1714
2021-02-19,2021-06-30,consistent,3,17699
2021-02-18,2021-06-30,inconsistent,0,2863
2021-02-18,2021-06-30,consistent,4,23597
2021-02-17,2021-06-30,inconsistent,0,1730
2021-02-17,2021-06-30,consistent,3,19672
2021-02-16,2021-06-30,inconsistent,0,1640
2021-02-16,2021-06-30,consistent,3,12287
2021-02-15,2021-06-30,inconsistent,1,1481
2021-02-15,2021-06-30,consistent,4,8487
2021-02-14,2021-06-30,inconsistent,0,26
2021-02-14,2021-06-30,consistent,2,226
2021-02-13,2021-06-30,inconsistent,0,56
2021-02-13,2021-06-30,consistent,0,1375
2021-02-12,2021-06-30,inconsistent,0,1598
2021-02-12,2021-06-30,consistent,3,12137
2021-02-11,2021-06-30,inconsistent,1,2310
2021-02-11,2021-06-30,consistent,4,15954
2021-02-10,2021-06-30,inconsistent,0,1638
2021-02-10,2021-06-30,consistent,4,16759
2021-02-09,2021-06-30,inconsistent,0,1480
2021-02-09,2021-06-30,consistent,5,24216
2021-02-08,2021-06-30,inconsistent,0,1420
2021-02-08,2021-06-30,consistent,4,21130
2021-02-07,2021-06-30,inconsistent,0,70
2021-02-07,2021-06-30,consistent,0,1567
2021-02-06,2021-06-30,inconsistent,0,284
2021-02-06,2021-06-30,consistent,2,9560
2021-02-05,2021-06-30,inconsistent,0,1128
2021-02-05,2021-06-30,consistent,3,17101
2021-02-04,2021-06-30,inconsistent,0,779
2021-02-04,2021-06-30,consistent,3,16488
2021-02-03,2021-06-30,inconsistent,0,1159
2021-02-03,2021-06-30,consistent,3,16766
2021-02-02,2021-06-30,inconsistent,0,2277
2021-02-02,2021-06-30,consistent,4,20158
2021-02-01,2021-06-30,inconsistent,0,667
2021-02-01,2021-06-30,consistent,3,15169
2021-01-31,2021-06-30,inconsistent,0,98
2021-01-31,2021-06-30,consistent,1,5105
2021-01-30,2021-06-30,inconsistent,0,166
2021-01-30,2021-06-30,consistent,2,8112
2021-01-29,2021-06-30,inconsistent,0,1117
2021-01-29,2021-06-30,consistent,3,17356
2021-01-28,2021-06-30,inconsistent,0,1178
2021-01-28,2021-06-30,consistent,3,17214
2021-01-27,2021-06-30,inconsistent,0,984
2021-01-27,2021-06-30,consistent,3,20054
2021-01-26,2021-06-30,inconsistent,0,1162
2021-01-26,2021-06-30,consistent,4,23508
2021-01-25,2021-06-30,inconsistent,0,686
2021-01-25,2021-06-30,consistent,2,14605
2021-01-24,2021-06-30,inconsistent,0,78
2021-01-24,2021-06-30,consistent,1,3534
2021-01-23,2021-06-30,inconsistent,0,109
2021-01-23,2021-06-30,consistent,1,4670
2021-01-22,2021-06-30,inconsistent,0,638
2021-01-22,2021-06-30,consistent,3,14120
2021-01-21,2021-06-30,inconsistent,0,945
2021-01-21,2021-06-30,consistent,5,21873
2021-01-20,2021-06-30,inconsistent,0,1191
2021-01-20,2021-06-30,consistent,5,27239
2021-01-19,2021-06-30,inconsistent,0,537
2021-01-19,2021-06-30,consistent,1,7502
2021-01-18,2021-06-30,inconsistent,0,4
2021-01-18,2021-06-30,consistent,0,102
2021-01-17,2021-06-30,consistent,0,74
2021-01-06,2021-06-30,wrong_date,1,3
2021-01-03,2021-06-30,wrong_date,0,1
2021-01-01,2021-06-30,wrong_date,1,4
2020-03-23,2021-06-30,wrong_date,1,14
