data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-07-01,2021-04-13,inconsistent,1,2425
2021-07-01,2021-04-13,consistent,9,42157
2021-07-01,2021-04-14,inconsistent,1,2890
2021-07-01,2021-04-14,consistent,9,41801
2021-07-01,2021-04-12,inconsistent,1,2886
2021-07-01,2021-04-12,consistent,10,52680
2021-07-01,2021-04-15,inconsistent,1,4567
2021-07-01,2021-04-15,consistent,12,46963
2021-07-01,2021-04-18,inconsistent,0,32
2021-07-01,2021-04-18,consistent,6,20215
2021-07-01,2021-04-17,inconsistent,0,2254
2021-07-01,2021-04-17,consistent,9,42998
2021-07-01,2021-04-16,inconsistent,1,3991
2021-07-01,2021-04-16,consistent,16,45008
