data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-07-02,2021-06-28,consistent,4,15283
2021-07-02,2021-06-29,inconsistent,0,2
2021-07-02,2021-06-29,consistent,4,16209
2021-07-02,2021-06-30,consistent,3,6781
2021-07-02,2021-07-01,inconsistent,0,3
2021-07-02,2021-07-01,consistent,2,1664
2021-07-02,2021-07-01,inconsistent,0,3
2021-07-02,2021-07-01,consistent,2,1686
2021-07-02,2021-06-30,consistent,2,6782
2021-07-02,2021-06-29,inconsistent,0,2
2021-07-02,2021-06-29,consistent,3,16230
2021-07-02,2021-06-28,consistent,4,15318
2021-07-02,2021-07-01,inconsistent,0,3
2021-07-02,2021-07-01,consistent,2,1795
2021-07-02,2021-06-30,consistent,2,6820
2021-07-02,2021-06-29,inconsistent,0,2
2021-07-02,2021-06-29,consistent,3,16243
2021-07-02,2021-06-28,consistent,3,15352
2021-07-02,2021-07-01,inconsistent,0,3
2021-07-02,2021-07-01,consistent,2,1795
2021-07-02,2021-06-30,consistent,3,6820
2021-07-02,2021-06-29,inconsistent,0,2
2021-07-02,2021-06-29,consistent,4,16243
2021-07-02,2021-06-28,consistent,3,15352
2021-07-02,2021-07-02,consistent,1,23
2021-07-02,2021-07-01,inconsistent,0,3
2021-07-02,2021-07-01,consistent,2,2125
2021-07-02,2021-06-30,consistent,3,6937
2021-07-02,2021-06-29,inconsistent,0,4
2021-07-02,2021-06-28,consistent,3,15366
2021-07-02,2021-06-29,consistent,3,16483
2021-07-02,2021-07-02,consistent,1,324
2021-07-02,2021-07-01,inconsistent,0,3
2021-07-02,2021-07-01,consistent,2,2428
2021-07-02,2021-06-30,consistent,2,7098
2021-07-02,2021-06-29,inconsistent,0,4
2021-07-02,2021-06-29,consistent,3,16538
2021-07-02,2021-06-28,consistent,3,15434
2021-07-02,2021-07-02,consistent,1,1352
2021-07-02,2021-07-01,inconsistent,0,3
2021-07-02,2021-07-01,consistent,2,2854
2021-07-02,2021-06-30,consistent,2,7540
2021-07-02,2021-06-29,inconsistent,0,4
2021-07-02,2021-06-29,consistent,2,16815
2021-07-02,2021-06-28,consistent,4,15562
2021-07-03,2021-07-02,consistent,1,1834
2021-07-03,2021-07-01,inconsistent,0,3
2021-07-03,2021-07-01,consistent,2,2913
2021-07-03,2021-06-30,consistent,2,7579
2021-07-03,2021-06-29,inconsistent,0,4
2021-07-03,2021-06-29,consistent,2,16819
2021-07-03,2021-06-28,consistent,2,15571
2021-07-03,2021-07-02,consistent,2,1843
2021-07-03,2021-07-01,inconsistent,0,3
2021-07-03,2021-07-01,consistent,2,2914
2021-07-03,2021-06-30,consistent,2,7580
2021-07-03,2021-07-02,consistent,2,1843
2021-07-03,2021-07-01,inconsistent,0,3
2021-07-03,2021-07-01,consistent,2,2914
2021-07-03,2021-06-30,consistent,2,7580
2021-07-03,2021-07-03,consistent,1,4
2021-07-03,2021-07-02,consistent,2,1861
2021-07-03,2021-07-01,inconsistent,0,3
2021-07-03,2021-07-01,consistent,2,4080
2021-07-03,2021-06-30,consistent,2,7841
2021-07-03,2021-06-29,inconsistent,0,4
2021-07-03,2021-06-29,consistent,3,16847
2021-07-03,2021-07-03,consistent,2,392
2021-07-03,2021-07-02,consistent,2,1876
2021-07-03,2021-07-01,inconsistent,0,3
2021-07-03,2021-07-01,consistent,2,4081
2021-07-03,2021-06-30,consistent,3,7845
2021-07-03,2021-06-28,consistent,3,16039
2021-07-03,2021-06-29,inconsistent,0,4
2021-07-03,2021-06-29,consistent,3,16851
2021-07-03,2021-07-03,consistent,2,1196
2021-07-03,2021-07-02,consistent,2,1899
2021-07-03,2021-07-01,inconsistent,0,3
2021-07-03,2021-07-01,consistent,2,4110
2021-07-03,2021-06-30,consistent,2,7856
2021-07-03,2021-06-29,inconsistent,0,4
2021-07-03,2021-06-29,consistent,2,16856
2021-07-03,2021-06-28,consistent,2,16057
2021-07-03,2021-07-02,consistent,2,1914
2021-07-03,2021-07-03,consistent,2,1296
2021-07-03,2021-07-01,inconsistent,0,3
2021-07-03,2021-07-01,consistent,2,4114
2021-07-03,2021-06-30,consistent,2,7858
2021-07-03,2021-06-29,inconsistent,0,4
2021-07-03,2021-06-29,consistent,3,16857
2021-07-03,2021-06-28,consistent,3,16058
2021-07-04,2021-07-03,consistent,2,1320
2021-07-04,2021-07-02,consistent,2,2009
2021-07-04,2021-07-01,inconsistent,0,3
2021-07-04,2021-07-01,consistent,2,4117
2021-07-04,2021-06-30,consistent,2,7858
2021-07-04,2021-06-29,inconsistent,0,4
2021-07-04,2021-06-29,consistent,2,16862
2021-07-04,2021-07-03,consistent,2,1323
2021-07-04,2021-06-28,consistent,3,16076
2021-07-04,2021-07-02,consistent,2,2065
2021-07-04,2021-07-03,consistent,2,1323
2021-07-04,2021-07-02,consistent,2,2079
2021-07-04,2021-07-01,inconsistent,0,3
2021-07-04,2021-07-01,consistent,2,4127
2021-07-04,2021-07-02,consistent,2,2079
2021-07-04,2021-07-03,consistent,2,1323
2021-07-04,2021-07-01,inconsistent,0,3
2021-07-04,2021-07-01,consistent,2,4127
2021-07-04,2021-07-03,consistent,2,1363
2021-07-04,2021-07-02,consistent,2,2100
2021-07-04,2021-07-01,inconsistent,0,3
2021-07-04,2021-07-01,consistent,2,4128
2021-07-04,2021-06-30,consistent,2,7931
2021-07-04,2021-07-04,consistent,1,12
2021-07-04,2021-07-03,consistent,2,1375
2021-07-04,2021-07-02,consistent,2,2101
2021-07-04,2021-07-01,inconsistent,0,3
2021-07-04,2021-07-01,consistent,2,4129
2021-07-04,2021-06-30,consistent,2,7931
