data_aplicaçao,data_atualizacao,tipo,media_tempo_gasto,total
2021-07-04,2021-07-05,consistent,2,1339
2021-07-03,2021-07-05,consistent,2,2123
2021-07-02,2021-07-04,inconsistent,0,4
2021-07-02,2021-07-04,consistent,4,9799
2021-07-01,2021-07-04,consistent,3,8337
2021-06-30,2021-07-04,inconsistent,0,2
2021-06-30,2021-07-04,consistent,3,11762
2021-06-29,2021-07-04,inconsistent,0,6
2021-06-29,2021-07-04,consistent,4,15111
2021-06-28,2021-07-04,inconsistent,0,6
2021-06-28,2021-07-04,consistent,2,11638
2021-06-27,2021-07-04,consistent,1,723
2021-06-26,2021-07-04,consistent,2,1756
2021-06-25,2021-07-04,consistent,2,8757
2021-06-24,2021-07-04,inconsistent,0,4
2021-06-24,2021-07-04,consistent,2,8776
2021-06-23,2021-07-03,inconsistent,0,2
2021-06-23,2021-07-03,consistent,2,8329
2021-06-22,2021-07-04,inconsistent,0,6
2021-06-22,2021-07-04,consistent,3,11084
2021-06-21,2021-07-03,consistent,2,11285
2021-06-20,2021-07-03,consistent,2,4091
2021-06-19,2021-07-03,consistent,2,5016
2021-06-18,2021-07-03,inconsistent,0,4
2021-06-18,2021-07-03,consistent,6,24737
2021-06-17,2021-07-04,inconsistent,0,2
2021-06-17,2021-07-04,consistent,5,23860
2021-06-16,2021-07-04,inconsistent,0,50
2021-06-16,2021-07-04,consistent,5,21050
2021-06-15,2021-07-04,inconsistent,0,2
2021-06-15,2021-07-04,consistent,6,21847
2021-06-14,2021-07-04,consistent,7,23092
2021-06-13,2021-07-01,consistent,2,3584
2021-06-12,2021-07-01,consistent,2,4901
2021-06-11,2021-07-01,inconsistent,0,6
2021-06-11,2021-07-01,consistent,3,9797
2021-06-10,2021-07-01,inconsistent,0,4
2021-06-10,2021-07-01,consistent,5,13133
2021-06-09,2021-07-01,inconsistent,0,6
2021-06-09,2021-07-01,consistent,7,14008
2021-06-08,2021-07-01,inconsistent,0,8
2021-06-08,2021-07-01,consistent,4,9406
2021-06-07,2021-07-01,inconsistent,0,4
2021-06-07,2021-07-01,consistent,5,14740
2021-06-06,2021-07-01,consistent,2,1474
2021-06-05,2021-07-01,consistent,2,1928
2021-06-04,2021-07-01,inconsistent,0,4
