data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-06-30,2021-03-08,inconsistent,0,38
2021-06-30,2021-03-09,inconsistent,0,50
2021-06-30,2021-03-08,consistent,2,2692
2021-06-30,2021-03-09,consistent,2,3410
2021-06-30,2021-03-10,inconsistent,0,100
2021-06-30,2021-03-10,consistent,2,2789
2021-06-30,2021-03-13,inconsistent,0,22
2021-06-30,2021-03-13,consistent,1,341
2021-06-30,2021-03-12,inconsistent,0,40
2021-06-30,2021-03-12,consistent,3,4016
2021-06-30,2021-03-11,inconsistent,0,42
2021-06-30,2021-03-11,consistent,3,8196
