data_aplicaçao,data_atualizacao,tipo,media_tempo_gasto,total
2021-04-04,2021-07-01,consistent,2,2005
2021-04-03,2021-07-01,inconsistent,0,12
2021-04-03,2021-07-01,consistent,6,22367
2021-04-02,2021-07-01,inconsistent,0,8
2021-04-02,2021-07-01,consistent,2,4873
2021-04-01,2021-07-01,inconsistent,0,28
2021-04-01,2021-07-01,consistent,4,14187
2021-03-31,2021-07-01,inconsistent,0,16
2021-03-31,2021-07-01,consistent,9,29340
2021-03-30,2021-07-01,inconsistent,0,270
2021-03-30,2021-07-01,consistent,8,26756
2021-03-29,2021-07-01,inconsistent,0,32
2021-03-29,2021-07-01,consistent,4,14086
2021-03-28,2021-07-01,inconsistent,0,6
2021-03-28,2021-07-01,consistent,2,2984
2021-03-27,2021-07-01,inconsistent,0,10
2021-03-27,2021-07-01,consistent,7,25693
2021-03-26,2021-07-01,inconsistent,0,150
2021-03-26,2021-07-01,consistent,5,22329
2021-03-25,2021-07-01,inconsistent,0,358
2021-03-25,2021-07-01,consistent,8,26064
2021-03-24,2021-07-01,inconsistent,0,406
2021-03-24,2021-07-01,consistent,7,22196
2021-03-23,2021-07-01,inconsistent,0,76
2021-03-23,2021-07-01,consistent,4,13792
2021-03-22,2021-07-01,inconsistent,0,40
2021-03-22,2021-07-01,consistent,3,6826
2021-03-21,2021-07-01,inconsistent,0,4
2021-03-21,2021-07-01,consistent,2,176
2021-03-20,2021-07-01,inconsistent,0,4
2021-03-20,2021-07-01,consistent,4,12010
2021-03-19,2021-07-01,inconsistent,0,200
2021-03-19,2021-07-01,consistent,5,12119
2021-03-18,2021-07-01,inconsistent,0,58
2021-03-18,2021-07-01,consistent,3,6264
2021-03-17,2021-07-01,inconsistent,0,144
2021-03-17,2021-07-01,consistent,2,6544
2021-03-16,2021-07-01,inconsistent,0,66
2021-03-16,2021-07-01,consistent,3,6855
2021-03-15,2021-07-01,inconsistent,0,100
2021-03-15,2021-07-01,consistent,3,5768
2021-03-14,2021-07-01,inconsistent,0,2
2021-03-14,2021-07-01,consistent,2,19
2021-03-13,2021-07-01,inconsistent,0,6
2021-03-13,2021-07-01,consistent,3,7072
2021-03-12,2021-07-01,inconsistent,0,84
2021-03-12,2021-07-01,consistent,3,7179
2021-03-11,2021-07-01,inconsistent,0,106
2021-03-11,2021-07-01,consistent,3,6681
2021-03-10,2021-07-01,inconsistent,0,20
2021-03-10,2021-07-01,consistent,3,6561
2021-03-09,2021-07-01,inconsistent,0,130
2021-03-09,2021-07-01,consistent,3,6098
2021-03-08,2021-07-01,inconsistent,0,168
2021-03-08,2021-07-01,consistent,3,6037
2021-03-07,2021-07-01,inconsistent,0,2
2021-03-04,2021-07-01,inconsistent,0,194
2021-03-04,2021-07-01,consistent,4,8160
2021-03-03,2021-07-01,inconsistent,0,300
2021-03-03,2021-07-01,consistent,3,11948
2021-03-02,2021-07-01,inconsistent,0,160
2021-03-02,2021-07-01,consistent,4,10246
2021-03-01,2021-07-01,inconsistent,0,98
2021-03-01,2021-07-01,consistent,3,6328
2021-02-28,2021-07-01,inconsistent,0,2
2021-02-28,2021-07-01,consistent,2,150
2021-02-27,2021-07-01,inconsistent,0,9
2021-02-27,2021-07-01,consistent,3,2887
2021-02-26,2021-07-01,inconsistent,0,212
2021-02-26,2021-07-01,consistent,3,7222
2021-02-25,2021-07-01,inconsistent,0,36
2021-02-25,2021-07-01,consistent,3,6799
2021-02-24,2021-07-01,inconsistent,0,94
2021-02-24,2021-07-01,consistent,4,8294
2021-02-23,2021-07-01,inconsistent,0,108
2021-02-23,2021-07-01,consistent,3,8270
2021-02-22,2021-07-01,inconsistent,0,126
2021-02-22,2021-07-01,consistent,2,7565
2021-02-21,2021-07-01,consistent,2,92
2021-02-20,2021-07-01,inconsistent,0,2
2021-02-20,2021-07-01,consistent,3,2078
2021-02-19,2021-07-01,inconsistent,0,116
2021-02-19,2021-07-01,consistent,3,9982
2021-02-18,2021-07-01,inconsistent,0,94
2021-02-18,2021-07-01,consistent,3,8933
2021-02-17,2021-07-01,inconsistent,0,165
2021-02-17,2021-07-01,consistent,2,2694
2021-02-16,2021-07-01,inconsistent,0,50
2021-02-16,2021-07-01,consistent,2,744
2021-02-15,2021-07-01,inconsistent,0,30
2021-02-15,2021-07-01,consistent,2,613
2021-02-14,2021-07-01,inconsistent,0,8
2021-02-14,2021-07-01,consistent,1,51
2021-02-13,2021-06-30,inconsistent,0,4
2021-02-13,2021-06-30,consistent,0,1239
2021-02-12,2021-06-30,inconsistent,0,56
2021-02-12,2021-06-30,consistent,1,4029
2021-02-11,2021-06-30,inconsistent,0,34
2021-02-11,2021-06-30,consistent,1,4253
2021-02-10,2021-06-30,inconsistent,0,25
2021-02-10,2021-06-30,consistent,2,5319
2021-02-09,2021-06-30,inconsistent,0,102
2021-02-09,2021-06-30,consistent,2,4783
2021-02-08,2021-06-30,inconsistent,0,6
2021-02-08,2021-06-30,consistent,1,3433
2021-02-07,2021-06-30,inconsistent,0,7
2021-02-07,2021-06-30,consistent,0,644
2021-02-06,2021-06-30,inconsistent,0,6
2021-02-06,2021-06-30,consistent,0,1280
2021-02-05,2021-06-30,inconsistent,0,18
2021-02-05,2021-06-30,consistent,1,5676
2021-02-04,2021-06-30,inconsistent,0,38
2021-02-04,2021-06-30,consistent,1,4372
2021-02-03,2021-06-30,inconsistent,0,10
2021-02-03,2021-06-30,consistent,1,4196
2021-02-02,2021-06-30,inconsistent,0,18
2021-02-02,2021-06-30,consistent,1,4827
2021-02-01,2021-06-30,inconsistent,0,30
2021-02-01,2021-06-30,consistent,1,4527
2021-01-31,2021-06-30,consistent,0,27
2021-01-30,2021-06-30,consistent,0,45
2021-01-29,2021-06-30,inconsistent,0,186
2021-01-29,2021-06-30,consistent,2,6545
2021-01-28,2021-06-30,inconsistent,0,56
2021-01-28,2021-06-30,consistent,2,7936
2021-01-27,2021-06-30,inconsistent,0,46
2021-01-27,2021-06-30,consistent,2,8985
2021-01-26,2021-06-30,inconsistent,0,67
2021-01-26,2021-06-30,consistent,2,7991
2021-01-25,2021-06-30,inconsistent,0,34
2021-01-25,2021-06-30,consistent,1,4493
2021-01-24,2021-06-30,inconsistent,0,4
2021-01-24,2021-06-30,consistent,0,586
2021-01-23,2021-06-30,inconsistent,0,37
2021-01-23,2021-06-30,consistent,0,1852
2021-01-22,2021-06-30,inconsistent,0,108
2021-01-22,2021-06-30,consistent,1,5063
2021-01-21,2021-06-30,inconsistent,0,82
2021-01-21,2021-06-30,consistent,1,6568
2021-01-20,2021-06-30,inconsistent,0,39
2021-01-20,2021-06-30,consistent,2,5777
2021-01-19,2021-06-30,inconsistent,0,12
2021-01-19,2021-06-30,consistent,0,629
2021-01-18,2021-06-30,consistent,0,96
2021-01-17,2021-06-30,consistent,0,3
