data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-07-01,2021-04-12,inconsistent,0,110
2021-07-01,2021-04-12,consistent,3,8290
2021-07-01,2021-04-13,inconsistent,0,136
2021-07-01,2021-04-13,consistent,3,16944
2021-07-01,2021-04-14,inconsistent,0,226
2021-07-01,2021-04-14,consistent,4,17350
2021-07-01,2021-04-15,inconsistent,0,46
2021-07-01,2021-04-15,consistent,4,16157
2021-07-01,2021-04-18,inconsistent,0,2
2021-07-01,2021-04-18,consistent,2,2510
2021-07-01,2021-04-16,inconsistent,0,122
2021-07-01,2021-04-16,consistent,4,17989
2021-07-01,2021-04-17,inconsistent,0,6
2021-07-01,2021-04-17,consistent,8,32012
