data_aplicaçao,data_atualizacao,tipo,media_tempo_gasto,total
2021-02-13,2021-06-30,inconsistent,0,28
2021-02-13,2021-06-30,consistent,0,1176
2021-02-12,2021-06-30,inconsistent,0,247
2021-02-12,2021-06-30,consistent,2,8225
2021-02-11,2021-06-30,inconsistent,0,166
2021-02-11,2021-06-30,consistent,4,12209
2021-02-10,2021-06-30,inconsistent,0,136
2021-02-10,2021-06-30,consistent,4,13609
2021-02-09,2021-06-30,inconsistent,0,90
2021-02-09,2021-06-30,consistent,1,4256
2021-02-08,2021-06-30,inconsistent,0,36
2021-02-08,2021-06-30,consistent,1,3485
2021-02-07,2021-06-30,inconsistent,0,204
2021-02-07,2021-06-30,consistent,1,1869
2021-02-06,2021-06-30,inconsistent,0,10
2021-02-06,2021-06-30,consistent,0,1599
2021-02-05,2021-06-30,inconsistent,0,36
2021-02-05,2021-06-30,consistent,1,8184
2021-02-04,2021-06-30,inconsistent,0,108
2021-02-04,2021-06-30,consistent,2,12619
2021-02-03,2021-06-30,inconsistent,0,32
2021-02-03,2021-06-30,consistent,1,7659
2021-02-02,2021-06-30,inconsistent,0,34
2021-02-02,2021-06-30,consistent,1,7024
2021-02-01,2021-06-30,inconsistent,0,148
2021-02-01,2021-06-30,consistent,1,7411
2021-01-31,2021-06-30,inconsistent,0,20
2021-01-31,2021-06-30,consistent,1,2767
2021-01-30,2021-06-30,inconsistent,0,4
2021-01-30,2021-06-30,consistent,0,1819
2021-01-29,2021-06-30,inconsistent,0,101
2021-01-29,2021-06-30,consistent,2,10806
2021-01-28,2021-06-30,inconsistent,0,72
2021-01-28,2021-06-30,consistent,2,12163
2021-01-27,2021-06-30,inconsistent,0,52
2021-01-27,2021-06-30,consistent,2,13461
2021-01-26,2021-06-30,inconsistent,0,44
2021-01-26,2021-06-30,consistent,1,8885
2021-01-25,2021-06-30,inconsistent,0,46
2021-01-25,2021-06-30,consistent,1,5397
2021-01-24,2021-06-30,consistent,0,116
2021-01-23,2021-06-30,inconsistent,0,8
2021-01-23,2021-06-30,consistent,0,1308
2021-01-22,2021-06-30,inconsistent,0,182
2021-01-22,2021-06-30,consistent,1,8810
2021-01-21,2021-06-30,inconsistent,0,174
2021-01-21,2021-06-30,consistent,2,14272
2021-01-20,2021-06-30,inconsistent,0,206
2021-01-20,2021-06-30,consistent,3,16155
2021-01-19,2021-06-30,inconsistent,0,28
2021-01-19,2021-06-30,consistent,0,2225
2021-01-18,2021-06-30,consistent,0,126
2021-01-17,2021-06-30,consistent,0,10
2021-01-01,2021-06-30,wrong_date,0,7
2020-03-23,2021-06-30,wrong_date,0,9
