data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-07-01,2021-02-22,inconsistent,0,230
2021-07-01,2021-02-22,consistent,2,9199
2021-07-01,2021-02-23,inconsistent,0,136
2021-07-01,2021-02-23,consistent,2,7179
2021-07-01,2021-02-25,inconsistent,0,74
2021-07-01,2021-02-24,inconsistent,0,60
2021-07-01,2021-02-25,consistent,3,6278
2021-07-01,2021-02-24,consistent,3,8969
2021-07-01,2021-02-26,inconsistent,0,114
2021-07-01,2021-02-26,consistent,4,17864
2021-07-01,2021-02-28,inconsistent,0,30
2021-07-01,2021-02-28,consistent,3,3509
2021-07-01,2021-02-27,inconsistent,0,16
2021-07-01,2021-02-27,consistent,4,8212
