data_aplicaçao,data_atualizacao,tipo,media_tempo_gasto,total
2021-07-02,2021-07-02,consistent,2,1706
2021-07-01,2021-07-02,inconsistent,0,38
2021-07-01,2021-07-02,consistent,2,16275
2021-06-30,2021-07-02,inconsistent,0,12
2021-06-30,2021-07-02,consistent,2,28248
2021-06-29,2021-07-02,inconsistent,0,16
2021-06-29,2021-07-02,consistent,3,32059
2021-06-28,2021-07-02,inconsistent,0,28
2021-06-28,2021-07-02,consistent,3,34891
2021-06-27,2021-07-02,consistent,2,3570
2021-06-26,2021-07-02,consistent,3,13312
2021-06-25,2021-07-02,inconsistent,0,16
2021-06-25,2021-07-02,consistent,4,24973
2021-06-24,2021-07-02,inconsistent,0,16
2021-06-24,2021-07-02,consistent,5,25329
2021-06-23,2021-07-02,inconsistent,0,20
2021-06-23,2021-07-02,consistent,4,34410
2021-06-22,2021-07-02,inconsistent,0,2
2021-06-22,2021-07-02,consistent,4,36912
2021-06-21,2021-07-01,inconsistent,0,12
2021-06-21,2021-07-01,consistent,5,34763
2021-06-20,2021-07-01,consistent,2,11290
2021-06-19,2021-07-01,inconsistent,0,2
2021-06-19,2021-07-01,consistent,4,22872
2021-06-18,2021-07-01,inconsistent,0,6
2021-06-18,2021-07-01,consistent,5,44585
2021-06-17,2021-07-01,inconsistent,0,28
2021-06-17,2021-07-01,consistent,6,49469
2021-06-16,2021-07-01,inconsistent,0,52
2021-06-16,2021-07-01,consistent,9,51661
2021-06-15,2021-07-01,inconsistent,0,46
2021-06-15,2021-07-01,consistent,8,58881
2021-06-14,2021-07-01,inconsistent,0,50
2021-06-14,2021-07-01,consistent,7,47034
2021-06-13,2021-07-01,consistent,4,10738
2021-06-12,2021-07-01,inconsistent,0,18
2021-06-12,2021-07-01,consistent,5,33037
2021-06-11,2021-07-01,inconsistent,0,2
2021-06-11,2021-07-01,consistent,7,43709
2021-06-10,2021-07-01,inconsistent,0,184
2021-06-10,2021-07-01,consistent,11,56180
2021-06-09,2021-07-01,inconsistent,0,12
2021-06-09,2021-07-01,consistent,9,64758
2021-06-08,2021-07-01,inconsistent,0,216
2021-06-08,2021-07-01,consistent,6,49314
2021-06-07,2021-07-01,inconsistent,0,206
2021-06-07,2021-07-01,consistent,8,43658
2021-06-06,2021-07-01,consistent,3,15328
2021-06-05,2021-07-01,inconsistent,0,2
2021-06-05,2021-07-01,consistent,6,19789
2021-06-04,2021-07-01,inconsistent,0,2
2021-06-04,2021-07-01,consistent,9,35568
2021-06-03,2021-07-01,consistent,6,28922
2021-06-02,2021-07-01,inconsistent,0,16
2021-06-02,2021-07-01,consistent,7,47462
2021-06-01,2021-07-01,inconsistent,0,16
2021-06-01,2021-07-01,consistent,9,49360
2021-05-31,2021-07-01,inconsistent,0,30
2021-05-31,2021-07-01,consistent,6,26763
2021-05-30,2021-07-01,consistent,2,6018
2021-05-29,2021-07-01,inconsistent,0,18
2021-05-29,2021-07-01,consistent,3,10324
2021-05-28,2021-07-01,inconsistent,0,20
2021-05-28,2021-07-01,consistent,3,16132
2021-05-27,2021-07-01,inconsistent,0,12
2021-05-27,2021-07-01,consistent,4,18097
2021-05-26,2021-07-01,inconsistent,0,12
2021-05-26,2021-07-01,consistent,4,18294
2021-05-25,2021-07-01,inconsistent,0,6
2021-05-25,2021-07-01,consistent,4,17467
2021-05-24,2021-07-01,inconsistent,0,30
2021-05-24,2021-07-01,consistent,4,15224
2021-05-23,2021-07-01,consistent,2,2211
2021-05-22,2021-07-01,inconsistent,0,14
2021-05-22,2021-07-01,consistent,2,5850
2021-05-21,2021-07-01,inconsistent,0,30
2021-05-21,2021-07-01,consistent,3,14934
2021-05-20,2021-07-01,inconsistent,0,10
2021-05-20,2021-07-01,consistent,3,19477
2021-05-19,2021-07-01,inconsistent,0,22
2021-05-19,2021-07-01,consistent,3,21161
2021-05-18,2021-07-01,inconsistent,0,40
2021-05-18,2021-07-01,consistent,3,18747
2021-05-17,2021-07-01,inconsistent,0,42
2021-05-17,2021-07-01,consistent,2,17437
2021-05-16,2021-07-01,inconsistent,0,16
2021-05-16,2021-07-01,consistent,2,444
2021-05-15,2021-07-01,inconsistent,0,24
2021-05-15,2021-07-01,consistent,2,5098
2021-05-14,2021-07-01,inconsistent,0,24
2021-05-14,2021-07-01,consistent,3,18489
2021-05-13,2021-07-01,inconsistent,0,58
2021-05-13,2021-07-01,consistent,4,26622
2021-05-12,2021-07-01,inconsistent,0,94
