data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-07-01,2021-03-29,inconsistent,0,1310
2021-07-01,2021-03-29,consistent,5,24284
2021-07-01,2021-04-01,inconsistent,0,256
2021-07-01,2021-04-01,consistent,4,17292
2021-07-01,2021-04-02,inconsistent,0,4
2021-07-01,2021-04-02,consistent,2,4011
2021-07-01,2021-04-04,consistent,2,1342
2021-07-01,2021-03-30,inconsistent,0,887
2021-07-01,2021-03-31,inconsistent,0,794
2021-07-01,2021-03-30,consistent,7,35017
2021-07-01,2021-04-03,inconsistent,0,116
2021-07-01,2021-03-31,consistent,7,29786
2021-07-01,2021-04-03,consistent,2,6999
