data_aplicaçao,data_atualizacao,tipo,media_tempo_gasto,total
2021-03-09,2021-06-30,inconsistent,0,1019
2021-03-09,2021-06-30,consistent,16,46057
2021-03-08,2021-06-30,inconsistent,1,1286
2021-03-08,2021-06-30,consistent,15,36441
2021-03-07,2021-06-30,inconsistent,1,798
2021-03-07,2021-06-30,consistent,2,1730
2021-03-06,2021-06-30,inconsistent,0,770
2021-03-06,2021-06-30,consistent,6,19708
2021-03-05,2021-06-30,inconsistent,1,2912
2021-03-05,2021-06-30,consistent,17,49801
2021-03-04,2021-06-30,inconsistent,1,1843
2021-03-04,2021-06-30,consistent,33,60308
2021-03-03,2021-06-30,inconsistent,2,3295
2021-03-03,2021-06-30,consistent,32,52937
2021-03-02,2021-06-30,inconsistent,1,920
2021-03-02,2021-06-30,consistent,22,29138
2021-03-01,2021-06-30,inconsistent,1,2609
2021-03-01,2021-06-30,consistent,11,20595
2021-02-28,2021-06-30,inconsistent,0,22
2021-02-28,2021-06-30,consistent,2,2124
2021-02-27,2021-06-30,inconsistent,0,240
2021-02-27,2021-06-30,consistent,5,6505
2021-02-26,2021-06-30,inconsistent,0,446
2021-02-26,2021-06-30,consistent,9,19133
2021-02-25,2021-06-30,inconsistent,0,191
2021-02-25,2021-06-30,consistent,6,14068
2021-02-24,2021-06-30,inconsistent,0,180
2021-02-24,2021-06-30,consistent,5,12981
2021-02-23,2021-06-30,inconsistent,0,188
2021-02-23,2021-06-30,consistent,4,14525
2021-02-22,2021-06-30,inconsistent,0,328
2021-02-22,2021-06-30,consistent,6,19871
2021-02-21,2021-06-30,inconsistent,0,2
2021-02-21,2021-06-30,consistent,3,235
2021-02-20,2021-06-30,inconsistent,0,16
2021-02-20,2021-06-30,consistent,3,2462
2021-02-19,2021-06-30,inconsistent,0,683
2021-02-19,2021-06-30,consistent,8,25485
2021-02-18,2021-06-30,inconsistent,0,670
2021-02-18,2021-06-30,consistent,10,32544
2021-02-17,2021-06-30,inconsistent,0,383
