data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-07-02,2021-06-21,inconsistent,0,44
2021-07-02,2021-06-21,consistent,11,63416
2021-07-02,2021-06-22,inconsistent,0,30
2021-07-02,2021-06-22,consistent,11,70258
2021-07-02,2021-06-23,inconsistent,0,54
2021-07-02,2021-06-23,consistent,10,80308
2021-07-02,2021-06-27,inconsistent,0,4
2021-07-02,2021-06-27,consistent,3,1290
2021-07-02,2021-06-26,inconsistent,0,40
2021-07-02,2021-06-26,consistent,6,31327
2021-07-02,2021-06-24,inconsistent,0,54
2021-07-02,2021-06-24,consistent,16,75884
2021-07-02,2021-06-25,inconsistent,0,32
2021-07-02,2021-06-25,consistent,14,71715
2021-07-02,2021-06-27,inconsistent,0,4
2021-07-02,2021-06-27,consistent,2,1295
2021-07-02,2021-06-27,inconsistent,0,4
2021-07-02,2021-06-27,consistent,2,1393
2021-07-03,2021-06-27,inconsistent,0,4
2021-07-03,2021-06-27,consistent,2,1396
2021-07-03,2021-06-26,inconsistent,0,40
2021-07-03,2021-06-26,consistent,5,32143
2021-07-03,2021-06-25,inconsistent,0,36
2021-07-03,2021-06-25,consistent,9,74234
2021-07-03,2021-06-24,inconsistent,0,54
2021-07-03,2021-06-24,consistent,9,79032
2021-07-03,2021-06-23,inconsistent,0,56
2021-07-03,2021-06-23,consistent,12,82919
2021-07-04,2021-06-27,inconsistent,0,4
2021-07-04,2021-06-27,consistent,2,1410
2021-07-04,2021-06-22,inconsistent,0,30
2021-07-04,2021-06-22,consistent,12,71927
2021-07-04,2021-06-26,inconsistent,0,40
2021-07-04,2021-06-26,consistent,5,32628
2021-07-04,2021-06-21,inconsistent,0,46
2021-07-04,2021-06-21,consistent,9,64666
2021-07-04,2021-06-25,inconsistent,0,44
2021-07-04,2021-06-25,consistent,10,74841
2021-07-04,2021-06-24,inconsistent,0,54
2021-07-04,2021-06-24,consistent,11,79152
2021-07-05,2021-06-23,inconsistent,0,56
2021-07-05,2021-06-23,consistent,12,83647
2021-07-05,2021-06-27,inconsistent,0,4
2021-07-05,2021-06-27,consistent,2,1948
2021-07-05,2021-06-26,inconsistent,0,40
2021-07-05,2021-06-26,consistent,6,33489
2021-07-05,2021-06-25,inconsistent,0,46
2021-07-05,2021-06-25,consistent,14,78221
2021-07-06,2021-06-24,inconsistent,0,60
2021-07-06,2021-06-24,consistent,13,81721
2021-07-06,2021-06-27,inconsistent,0,4
2021-07-06,2021-06-27,consistent,2,2131
2021-07-06,2021-06-22,inconsistent,0,32
2021-07-06,2021-06-22,consistent,11,73846
2021-07-06,2021-06-21,inconsistent,0,104
2021-07-06,2021-06-21,consistent,13,66954
2021-07-06,2021-06-26,inconsistent,0,50
2021-07-06,2021-06-26,consistent,6,35113
2021-07-07,2021-06-25,inconsistent,0,50
2021-07-07,2021-06-25,consistent,14,81012
2021-07-07,2021-06-23,inconsistent,0,64
2021-07-07,2021-06-23,consistent,17,88028
2021-07-08,2021-06-27,inconsistent,0,4
2021-07-08,2021-06-27,consistent,2,2202
