data_aplicaçao,data_atualizacao,tipo,media_tempo_gasto,total
2021-07-04,2021-07-04,consistent,1,48
2021-07-03,2021-07-04,inconsistent,0,2
2021-07-03,2021-07-04,consistent,2,6324
2021-07-02,2021-07-04,inconsistent,0,6
2021-07-02,2021-07-04,consistent,2,9877
2021-07-01,2021-07-04,inconsistent,0,22
2021-07-01,2021-07-04,consistent,2,14255
2021-06-30,2021-07-04,inconsistent,0,20
2021-06-30,2021-07-04,consistent,2,15308
2021-06-29,2021-07-04,inconsistent,0,24
2021-06-29,2021-07-04,consistent,3,14127
2021-06-28,2021-07-04,inconsistent,0,14
2021-06-28,2021-07-04,consistent,2,12286
2021-06-27,2021-07-04,consistent,1,233
2021-06-26,2021-07-04,consistent,2,11538
2021-06-25,2021-07-04,inconsistent,0,14
2021-06-25,2021-07-04,consistent,2,14676
2021-06-24,2021-07-04,inconsistent,0,20
2021-06-24,2021-07-04,consistent,2,13100
2021-06-23,2021-07-03,inconsistent,0,18
2021-06-23,2021-07-03,consistent,2,12752
2021-06-22,2021-07-04,inconsistent,0,44
2021-06-22,2021-07-04,consistent,2,16870
2021-06-21,2021-07-04,inconsistent,0,10
2021-06-21,2021-07-04,consistent,3,12944
2021-06-20,2021-07-04,consistent,2,273
2021-06-19,2021-07-04,inconsistent,0,24
2021-06-19,2021-07-04,consistent,3,9694
2021-06-18,2021-07-02,inconsistent,0,12
2021-06-18,2021-07-02,consistent,3,16849
2021-06-17,2021-07-02,inconsistent,0,2
2021-06-17,2021-07-02,consistent,3,17997
2021-06-16,2021-07-02,inconsistent,0,12
2021-06-16,2021-07-02,consistent,3,15674
2021-06-15,2021-07-02,inconsistent,0,25
2021-06-15,2021-07-02,consistent,4,15139
2021-06-14,2021-07-02,inconsistent,0,4
2021-06-14,2021-07-02,consistent,3,13787
2021-06-13,2021-07-02,consistent,3,208
2021-06-12,2021-07-02,inconsistent,0,2
2021-06-12,2021-07-02,consistent,3,12906
2021-06-11,2021-07-02,inconsistent,0,56
2021-06-11,2021-07-02,consistent,4,16389
2021-06-10,2021-07-02,inconsistent,0,16
2021-06-10,2021-07-02,consistent,3,17341
2021-06-09,2021-07-02,inconsistent,0,16
2021-06-09,2021-07-02,consistent,4,18403
2021-06-08,2021-07-02,inconsistent,0,10
2021-06-08,2021-07-02,consistent,3,16402
2021-06-07,2021-07-02,inconsistent,0,16
2021-06-07,2021-07-02,consistent,3,11622
2021-06-06,2021-07-02,consistent,2,196
2021-06-05,2021-07-02,consistent,2,6315
2021-06-04,2021-07-02,inconsistent,0,2
2021-06-04,2021-07-02,consistent,3,6702
2021-06-03,2021-07-02,consistent,2,5947
2021-06-02,2021-07-02,inconsistent,0,30
2021-06-02,2021-07-02,consistent,2,14979
2021-06-01,2021-07-02,inconsistent,0,36
2021-06-01,2021-07-02,consistent,2,12144
2021-05-31,2021-07-02,inconsistent,0,2
2021-05-31,2021-07-02,consistent,2,8515
2021-05-30,2021-07-02,inconsistent,0,2
2021-05-30,2021-07-02,consistent,2,252
2021-05-29,2021-07-02,inconsistent,0,4
2021-05-29,2021-07-02,consistent,2,3832
2021-05-28,2021-07-02,inconsistent,0,14
2021-05-28,2021-07-02,consistent,2,9791
2021-05-27,2021-07-02,inconsistent,0,28
2021-05-27,2021-07-02,consistent,3,11051
2021-05-26,2021-07-02,inconsistent,0,100
2021-05-26,2021-07-02,consistent,3,10974
2021-05-25,2021-07-02,inconsistent,0,60
2021-05-25,2021-07-02,consistent,3,10980
2021-05-24,2021-07-02,inconsistent,0,8
2021-05-24,2021-07-02,consistent,3,10010
2021-05-23,2021-07-02,consistent,2,183
2021-05-22,2021-07-02,inconsistent,0,2
2021-05-22,2021-07-02,consistent,2,5778
2021-05-21,2021-07-02,inconsistent,0,20
2021-05-21,2021-07-02,consistent,3,13463
2021-05-20,2021-07-02,inconsistent,0,38
2021-05-20,2021-07-02,consistent,3,14807
2021-05-19,2021-07-02,inconsistent,0,62
2021-05-19,2021-07-02,consistent,3,12864
2021-05-18,2021-07-02,inconsistent,0,40
2021-05-18,2021-07-02,consistent,4,15101
2021-05-17,2021-07-02,inconsistent,0,30
2021-05-17,2021-07-02,consistent,2,9885
2021-05-16,2021-07-02,inconsistent,0,6
2021-05-16,2021-07-02,consistent,2,3056
2021-05-15,2021-07-02,inconsistent,0,6
2021-05-15,2021-07-02,consistent,2,7372
2021-05-14,2021-07-02,inconsistent,0,28
2021-05-14,2021-07-02,consistent,3,12365
2021-05-13,2021-07-02,inconsistent,0,14
2021-05-13,2021-07-02,consistent,3,13105
2021-05-12,2021-07-02,inconsistent,0,54
2021-05-12,2021-07-02,consistent,4,16051
2021-05-11,2021-07-02,inconsistent,0,62
2021-05-11,2021-07-02,consistent,3,13658
2021-05-10,2021-07-02,inconsistent,0,36
2021-05-10,2021-07-02,consistent,3,11614
2021-05-09,2021-07-02,consistent,2,63
2021-05-08,2021-07-01,inconsistent,0,2
2021-05-08,2021-07-01,consistent,3,5900
2021-05-07,2021-07-01,inconsistent,0,28
2021-05-07,2021-07-01,consistent,4,15429
2021-05-06,2021-07-01,inconsistent,0,40
2021-05-06,2021-07-01,consistent,3,12444
2021-05-05,2021-07-01,inconsistent,0,46
2021-05-05,2021-07-01,consistent,3,13390
2021-05-04,2021-07-01,inconsistent,0,154
2021-05-04,2021-07-01,consistent,3,12713
2021-05-03,2021-07-01,inconsistent,0,230
2021-05-03,2021-07-01,consistent,3,12269
2021-05-02,2021-07-01,consistent,2,162
2021-05-01,2021-07-01,inconsistent,0,12
2021-05-01,2021-07-01,consistent,3,6779
2021-04-30,2021-07-01,inconsistent,0,124
2021-04-30,2021-07-01,consistent,3,13599
2021-04-29,2021-07-01,inconsistent,0,336
2021-04-29,2021-07-01,consistent,4,17566
2021-04-28,2021-07-01,inconsistent,0,214
2021-04-28,2021-07-01,consistent,4,15486
