data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-07-02,2021-06-28,inconsistent,0,14
2021-07-02,2021-06-28,consistent,3,11858
2021-07-02,2021-06-29,inconsistent,0,4
2021-07-02,2021-06-29,consistent,2,13151
2021-07-02,2021-06-30,inconsistent,0,8
2021-07-02,2021-06-30,consistent,3,12277
2021-07-02,2021-07-01,inconsistent,0,2
2021-07-02,2021-07-01,consistent,2,11029
2021-07-02,2021-07-02,consistent,1,29
2021-07-02,2021-07-01,inconsistent,0,2
2021-07-02,2021-06-30,inconsistent,0,12
2021-07-02,2021-07-01,consistent,2,11151
2021-07-02,2021-06-30,consistent,2,12384
2021-07-02,2021-06-29,inconsistent,0,14
2021-07-02,2021-06-29,consistent,3,13244
2021-07-02,2021-06-28,inconsistent,0,14
2021-07-02,2021-06-28,consistent,2,11868
2021-07-02,2021-07-02,consistent,2,991
2021-07-02,2021-06-30,inconsistent,0,12
2021-07-02,2021-06-30,consistent,2,12889
2021-07-02,2021-07-01,inconsistent,0,2
2021-07-02,2021-07-01,consistent,2,11515
2021-07-02,2021-06-29,inconsistent,0,14
2021-07-02,2021-06-29,consistent,3,13319
2021-07-02,2021-06-28,inconsistent,0,14
2021-07-02,2021-06-28,consistent,2,11951
