data_aplicaçao,data_atualizacao,tipo,media_tempo_gasto,total
2021-05-08,2021-07-02,inconsistent,0,4
2021-05-08,2021-07-02,consistent,3,6829
2021-05-07,2021-07-02,inconsistent,0,12
2021-05-07,2021-07-02,consistent,5,18409
2021-05-06,2021-07-02,inconsistent,0,20
2021-05-06,2021-07-02,consistent,5,20625
2021-05-05,2021-07-02,inconsistent,0,64
2021-05-05,2021-07-02,consistent,4,19021
2021-05-04,2021-07-02,inconsistent,0,44
2021-05-04,2021-07-02,consistent,3,13541
2021-05-03,2021-07-02,inconsistent,0,16
2021-05-03,2021-07-02,consistent,4,12186
2021-05-02,2021-07-02,consistent,3,1397
2021-05-01,2021-07-02,inconsistent,0,118
2021-05-01,2021-07-02,consistent,3,6571
2021-04-30,2021-07-02,inconsistent,0,268
2021-04-30,2021-07-02,consistent,4,15363
2021-04-29,2021-07-02,inconsistent,0,46
2021-04-29,2021-07-02,consistent,5,19095
2021-04-28,2021-07-02,inconsistent,0,172
2021-04-28,2021-07-02,consistent,5,22639
2021-04-27,2021-07-02,inconsistent,0,136
2021-04-27,2021-07-02,consistent,5,19314
2021-04-26,2021-07-02,inconsistent,0,210
2021-04-26,2021-07-02,consistent,5,18424
2021-04-25,2021-07-02,inconsistent,0,62
2021-04-25,2021-07-02,consistent,2,2454
2021-04-24,2021-07-02,inconsistent,0,276
2021-04-24,2021-07-02,consistent,3,6558
2021-04-23,2021-07-02,inconsistent,0,202
2021-04-23,2021-07-02,consistent,4,15697
2021-04-22,2021-07-02,inconsistent,0,182
2021-04-22,2021-07-02,consistent,7,35117
2021-04-21,2021-07-02,inconsistent,0,68
2021-04-21,2021-07-02,consistent,7,22999
2021-04-20,2021-07-02,inconsistent,0,78
2021-04-20,2021-07-02,consistent,12,39008
2021-04-19,2021-07-02,inconsistent,0,146
2021-04-19,2021-07-02,consistent,6,28131
2021-04-18,2021-07-02,inconsistent,0,8
2021-04-18,2021-07-02,consistent,3,805
2021-04-17,2021-07-02,inconsistent,0,6
2021-04-17,2021-07-02,consistent,4,8844
2021-04-16,2021-07-02,inconsistent,0,64
2021-04-16,2021-07-02,consistent,5,24223
2021-04-15,2021-07-02,inconsistent,0,230
2021-04-15,2021-07-02,consistent,6,20732
2021-04-14,2021-07-02,inconsistent,0,104
2021-04-14,2021-07-02,consistent,7,15491
2021-04-13,2021-07-02,inconsistent,0,38
2021-04-13,2021-07-02,consistent,7,21420
2021-04-12,2021-07-02,inconsistent,0,178
2021-04-12,2021-07-02,consistent,6,18000
2021-04-11,2021-07-02,consistent,5,1760
2021-04-10,2021-07-01,inconsistent,0,8
2021-04-10,2021-07-01,consistent,2,6795
2021-04-09,2021-07-01,inconsistent,0,80
2021-04-09,2021-07-01,consistent,3,15885
2021-04-08,2021-07-01,inconsistent,0,168
2021-04-08,2021-07-01,consistent,5,17795
2021-04-07,2021-07-01,inconsistent,0,200
2021-04-07,2021-07-01,consistent,5,17784
2021-04-06,2021-07-01,inconsistent,0,100
2021-04-06,2021-07-01,consistent,6,21318
2021-04-05,2021-07-01,inconsistent,0,66
2021-04-05,2021-07-01,consistent,6,19464
2021-04-04,2021-07-01,inconsistent,0,4
2021-04-04,2021-07-01,consistent,2,864
2021-04-03,2021-07-01,inconsistent,0,8
2021-04-03,2021-07-01,consistent,3,4599
2021-04-02,2021-07-01,inconsistent,0,2
2021-04-02,2021-07-01,consistent,2,2171
2021-04-01,2021-07-01,inconsistent,0,84
2021-04-01,2021-07-01,consistent,7,35647
2021-03-31,2021-07-01,inconsistent,0,274
2021-03-31,2021-07-01,consistent,13,44464
2021-03-30,2021-07-01,inconsistent,0,338
2021-03-30,2021-07-01,consistent,14,60295
2021-03-29,2021-07-01,inconsistent,0,148
2021-03-29,2021-07-01,consistent,12,41912
2021-03-28,2021-07-01,inconsistent,0,10
2021-03-28,2021-07-01,consistent,5,21490
2021-03-27,2021-07-01,inconsistent,0,10
2021-03-27,2021-07-01,consistent,10,29482
2021-03-26,2021-07-01,inconsistent,0,98
2021-03-26,2021-07-01,consistent,14,44952
2021-03-25,2021-07-01,inconsistent,0,476
2021-03-25,2021-07-01,consistent,18,45906
2021-03-24,2021-07-01,inconsistent,0,206
2021-03-24,2021-07-01,consistent,20,44797
2021-03-23,2021-07-01,inconsistent,0,203
2021-03-23,2021-07-01,consistent,8,32284
2021-03-22,2021-07-01,inconsistent,0,144
2021-03-22,2021-07-01,consistent,4,12984
2021-03-21,2021-07-01,inconsistent,0,6
2021-03-21,2021-07-01,consistent,5,10197
2021-03-20,2021-07-01,inconsistent,0,364
