data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-07-02,2021-06-28,inconsistent,0,18
2021-07-02,2021-06-28,consistent,3,17618
2021-07-02,2021-06-30,inconsistent,0,2
2021-07-02,2021-06-30,consistent,3,14641
2021-07-02,2021-07-02,consistent,1,1
2021-07-02,2021-07-01,consistent,2,7498
2021-07-02,2021-06-29,consistent,6,33493
2021-07-02,2021-07-02,consistent,2,1287
2021-07-02,2021-07-01,consistent,2,8431
2021-07-02,2021-06-30,inconsistent,0,2
2021-07-02,2021-06-30,consistent,2,15345
2021-07-02,2021-06-28,inconsistent,0,18
2021-07-02,2021-06-28,consistent,3,17944
2021-07-02,2021-06-29,consistent,9,41380
2021-07-02,2021-07-02,consistent,3,3583
2021-07-02,2021-07-01,consistent,3,10453
2021-07-02,2021-06-30,inconsistent,0,2
2021-07-02,2021-06-30,consistent,3,17227
2021-07-02,2021-06-28,inconsistent,0,18
2021-07-02,2021-06-28,consistent,3,18949
2021-07-02,2021-06-29,consistent,7,42972
