data_aplicaçao,data_atualizacao,tipo,media_tempo_gasto,total
2021-07-03,2021-07-03,consistent,2,2784
2021-07-02,2021-07-03,inconsistent,0,8
2021-07-02,2021-07-03,consistent,2,6691
2021-07-01,2021-07-03,consistent,2,7467
2021-06-30,2021-07-03,inconsistent,0,16
2021-06-30,2021-07-03,consistent,2,10190
2021-06-29,2021-07-03,inconsistent,0,60
2021-06-29,2021-07-03,consistent,2,12257
2021-06-28,2021-07-03,inconsistent,0,20
2021-06-28,2021-07-03,consistent,2,14575
2021-06-27,2021-07-03,consistent,2,1892
2021-06-26,2021-07-03,inconsistent,0,2
2021-06-26,2021-07-03,consistent,2,11190
2021-06-25,2021-07-03,inconsistent,0,6
2021-06-25,2021-07-03,consistent,2,11895
2021-06-24,2021-07-03,inconsistent,0,2
2021-06-24,2021-07-03,consistent,2,3633
2021-06-23,2021-07-03,inconsistent,0,30
2021-06-23,2021-07-03,consistent,2,9305
2021-06-22,2021-07-02,inconsistent,0,14
2021-06-22,2021-07-02,consistent,3,15193
2021-06-21,2021-07-02,inconsistent,0,10
2021-06-21,2021-07-02,consistent,3,14744
2021-06-20,2021-07-02,inconsistent,0,76
2021-06-20,2021-07-02,consistent,2,4309
2021-06-19,2021-07-02,inconsistent,0,4
2021-06-19,2021-07-02,consistent,2,7865
2021-06-18,2021-07-02,inconsistent,0,2
2021-06-18,2021-07-02,consistent,2,10090
2021-06-17,2021-07-02,inconsistent,0,18
2021-06-17,2021-07-02,consistent,2,12086
2021-06-16,2021-07-02,inconsistent,0,10
2021-06-16,2021-07-02,consistent,3,14785
2021-06-15,2021-07-02,inconsistent,0,6
2021-06-15,2021-07-02,consistent,3,14562
2021-06-14,2021-07-02,inconsistent,0,10
2021-06-14,2021-07-02,consistent,3,16868
2021-06-13,2021-07-02,consistent,2,1351
2021-06-12,2021-07-02,inconsistent,0,8
2021-06-12,2021-07-02,consistent,2,5508
2021-06-11,2021-07-02,inconsistent,0,12
2021-06-11,2021-07-02,consistent,4,25101
2021-06-10,2021-07-02,inconsistent,0,32
2021-06-10,2021-07-02,consistent,5,28419
2021-06-09,2021-07-02,inconsistent,0,28
2021-06-09,2021-07-02,consistent,3,24679
2021-06-08,2021-07-02,inconsistent,0,20
2021-06-08,2021-07-02,consistent,4,20610
2021-06-07,2021-07-02,inconsistent,0,6
2021-06-07,2021-07-02,consistent,3,23080
2021-06-06,2021-07-02,consistent,2,564
2021-06-05,2021-07-01,inconsistent,0,10
2021-06-05,2021-07-01,consistent,3,8956
2021-06-04,2021-07-01,inconsistent,0,8
2021-06-04,2021-07-01,consistent,4,24703
2021-06-03,2021-07-01,inconsistent,0,14
2021-06-03,2021-07-01,consistent,4,18329
2021-06-02,2021-07-01,inconsistent,0,12
2021-06-02,2021-07-01,consistent,3,19764
2021-06-01,2021-07-01,inconsistent,0,6
2021-06-01,2021-07-01,consistent,3,17001
2021-05-31,2021-07-01,inconsistent,0,24
2021-05-31,2021-07-01,consistent,3,13412
2021-05-30,2021-07-01,inconsistent,0,2
2021-05-30,2021-07-01,consistent,2,3003
2021-05-29,2021-07-01,inconsistent,0,10
2021-05-29,2021-07-01,consistent,2,4719
2021-05-28,2021-07-01,inconsistent,0,14
2021-05-28,2021-07-01,consistent,3,14008
2021-05-27,2021-07-01,inconsistent,0,8
2021-05-27,2021-07-01,consistent,2,9469
2021-05-26,2021-07-01,inconsistent,0,34
2021-05-26,2021-07-01,consistent,3,9364
2021-05-25,2021-07-01,inconsistent,0,20
2021-05-25,2021-07-01,consistent,2,9314
2021-05-24,2021-07-01,inconsistent,0,24
2021-05-24,2021-07-01,consistent,2,7810
2021-05-23,2021-07-01,inconsistent,0,2
2021-05-23,2021-07-01,consistent,2,502
2021-05-22,2021-07-01,inconsistent,0,8
2021-05-22,2021-07-01,consistent,2,4511
2021-05-21,2021-07-01,inconsistent,0,24
2021-05-21,2021-07-01,consistent,3,13691
2021-05-20,2021-07-01,inconsistent,0,76
2021-05-20,2021-07-01,consistent,6,23964
2021-05-19,2021-07-01,inconsistent,0,142
2021-05-19,2021-07-01,consistent,4,20946
2021-05-18,2021-07-01,inconsistent,0,14
2021-05-18,2021-07-01,consistent,3,14832
2021-05-17,2021-07-01,inconsistent,0,40
2021-05-17,2021-07-01,consistent,2,9105
2021-05-16,2021-07-01,inconsistent,0,4
2021-05-16,2021-07-01,consistent,2,4475
2021-05-15,2021-07-01,inconsistent,0,24
