data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-07-01,2021-04-21,inconsistent,0,60
2021-07-01,2021-04-21,consistent,3,11543
2021-07-01,2021-04-19,inconsistent,0,342
2021-07-01,2021-04-19,consistent,5,23884
2021-07-01,2021-04-24,inconsistent,0,10
2021-07-01,2021-04-24,consistent,2,9636
2021-07-01,2021-04-23,inconsistent,0,382
2021-07-01,2021-04-23,consistent,3,15299
2021-07-01,2021-04-22,inconsistent,0,348
2021-07-01,2021-04-20,inconsistent,0,446
2021-07-01,2021-04-22,consistent,6,21844
2021-07-01,2021-04-20,consistent,7,30177
2021-07-01,2021-04-25,inconsistent,0,276
2021-07-01,2021-04-25,consistent,7,21376
