data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-07-02,2021-06-14,inconsistent,0,56
2021-07-02,2021-06-14,consistent,8,48299
2021-07-02,2021-06-16,inconsistent,0,10
2021-07-02,2021-06-16,consistent,6,47099
2021-07-02,2021-06-17,inconsistent,0,18
2021-07-02,2021-06-17,consistent,6,41315
2021-07-02,2021-06-15,inconsistent,0,26
2021-07-02,2021-06-15,consistent,8,51680
2021-07-02,2021-06-20,inconsistent,0,24
2021-07-02,2021-06-20,consistent,2,7594
2021-07-02,2021-06-19,inconsistent,0,12
2021-07-02,2021-06-19,consistent,3,29364
2021-07-02,2021-06-18,inconsistent,0,18
2021-07-02,2021-06-18,consistent,7,35979
2021-07-04,2021-06-20,inconsistent,0,24
2021-07-04,2021-06-20,consistent,3,7614
2021-07-04,2021-06-19,inconsistent,0,12
2021-07-04,2021-06-19,consistent,3,31372
2021-07-05,2021-06-18,inconsistent,0,20
2021-07-05,2021-06-18,consistent,6,36267
2021-07-05,2021-06-17,inconsistent,0,20
2021-07-05,2021-06-17,consistent,6,42632
2021-07-05,2021-06-16,inconsistent,0,36
2021-07-05,2021-06-16,consistent,7,47563
