data_aplicaçao,data_atualizacao,tipo,media_tempo_gasto,total
2021-03-22,2021-07-01,inconsistent,0,88
2021-03-22,2021-07-01,consistent,3,6434
2021-03-21,2021-07-01,inconsistent,0,14
2021-03-21,2021-07-01,consistent,2,434
2021-03-20,2021-07-01,inconsistent,0,44
2021-03-20,2021-07-01,consistent,2,4095
2021-03-19,2021-07-01,inconsistent,0,74
2021-03-19,2021-07-01,consistent,2,4982
2021-03-18,2021-07-01,inconsistent,0,56
2021-03-18,2021-07-01,consistent,2,2268
2021-03-17,2021-07-01,inconsistent,0,146
2021-03-17,2021-07-01,consistent,3,4869
2021-03-16,2021-07-01,inconsistent,0,202
2021-03-16,2021-07-01,consistent,3,5290
2021-03-15,2021-07-01,inconsistent,0,164
2021-03-15,2021-07-01,consistent,2,4125
2021-03-14,2021-07-01,inconsistent,0,10
2021-03-14,2021-07-01,consistent,2,162
2021-03-13,2021-06-30,inconsistent,0,14
2021-03-13,2021-06-30,consistent,2,1701
2021-03-12,2021-06-30,inconsistent,0,190
2021-03-12,2021-06-30,consistent,3,6444
2021-03-11,2021-06-30,inconsistent,0,124
2021-03-11,2021-06-30,consistent,2,5799
2021-03-10,2021-06-30,inconsistent,0,160
2021-03-10,2021-06-30,consistent,3,6314
2021-03-09,2021-06-30,inconsistent,0,348
2021-03-09,2021-06-30,consistent,3,6531
2021-03-08,2021-06-30,inconsistent,0,56
2021-03-08,2021-06-30,consistent,4,5415
2021-03-07,2021-06-30,inconsistent,0,20
2021-03-07,2021-06-30,consistent,2,110
2021-03-06,2021-06-30,inconsistent,0,134
2021-03-06,2021-06-30,consistent,3,4144
2021-03-05,2021-06-30,inconsistent,0,112
2021-03-05,2021-06-30,consistent,4,6228
2021-03-04,2021-06-30,inconsistent,0,226
2021-03-04,2021-06-30,consistent,4,4707
2021-03-03,2021-06-30,inconsistent,0,256
2021-03-03,2021-06-30,consistent,4,5159
2021-03-02,2021-06-30,inconsistent,0,265
2021-03-02,2021-06-30,consistent,3,4722
2021-03-01,2021-06-30,inconsistent,0,129
2021-03-01,2021-06-30,consistent,3,3493
2021-02-28,2021-06-30,inconsistent,0,11
2021-02-28,2021-06-30,consistent,2,1156
2021-02-27,2021-06-30,inconsistent,0,18
2021-02-27,2021-06-30,consistent,2,2224
2021-02-26,2021-06-30,inconsistent,0,32
2021-02-26,2021-06-30,consistent,2,2916
2021-02-25,2021-06-30,inconsistent,0,52
2021-02-25,2021-06-30,consistent,2,2204
2021-02-24,2021-06-30,inconsistent,0,53
2021-02-24,2021-06-30,consistent,2,2206
2021-02-23,2021-06-30,inconsistent,0,28
2021-02-23,2021-06-30,consistent,2,2567
2021-02-22,2021-06-30,inconsistent,0,36
2021-02-22,2021-06-30,consistent,2,2922
2021-02-21,2021-06-30,inconsistent,0,6
2021-02-21,2021-06-30,consistent,1,28
2021-02-20,2021-06-30,inconsistent,0,2
2021-02-20,2021-06-30,consistent,2,195
2021-02-19,2021-06-30,inconsistent,0,74
2021-02-19,2021-06-30,consistent,3,3905
2021-02-18,2021-06-30,inconsistent,0,260
2021-02-18,2021-06-30,consistent,2,5900
2021-02-17,2021-06-30,inconsistent,0,90
2021-02-17,2021-06-30,consistent,4,4141
2021-02-16,2021-06-30,inconsistent,0,124
2021-02-16,2021-06-30,consistent,3,2645
2021-02-15,2021-06-30,inconsistent,0,84
2021-02-15,2021-06-30,consistent,2,3275
2021-02-14,2021-06-30,inconsistent,0,10
2021-02-14,2021-06-30,consistent,2,88
2021-02-13,2021-06-30,inconsistent,0,22
2021-02-13,2021-06-30,consistent,0,354
2021-02-12,2021-06-30,inconsistent,0,116
2021-02-12,2021-06-30,consistent,2,4590
2021-02-11,2021-06-30,inconsistent,0,104
2021-02-11,2021-06-30,consistent,2,4609
2021-02-10,2021-06-30,inconsistent,0,116
2021-02-10,2021-06-30,consistent,1,3422
2021-02-09,2021-06-30,inconsistent,0,41
2021-02-09,2021-06-30,consistent,2,3042
2021-02-08,2021-06-30,inconsistent,0,151
2021-02-08,2021-06-30,consistent,1,1179
2021-02-07,2021-06-30,inconsistent,0,5
2021-02-07,2021-06-30,consistent,0,22
2021-02-06,2021-06-30,inconsistent,0,11
2021-02-06,2021-06-30,consistent,0,91
2021-02-05,2021-06-30,inconsistent,0,63
2021-02-05,2021-06-30,consistent,1,1590
2021-02-04,2021-06-30,inconsistent,0,41
2021-02-04,2021-06-30,consistent,1,1941
2021-02-03,2021-06-30,inconsistent,0,16
2021-02-03,2021-06-30,consistent,1,2390
2021-02-02,2021-06-30,inconsistent,0,28
2021-02-02,2021-06-30,consistent,1,2463
2021-02-01,2021-06-30,inconsistent,0,28
2021-02-01,2021-06-30,consistent,2,3467
2021-01-31,2021-06-30,consistent,0,62
2021-01-30,2021-06-30,inconsistent,0,2
2021-01-30,2021-06-30,consistent,0,327
2021-01-29,2021-06-30,inconsistent,0,54
2021-01-29,2021-06-30,consistent,2,4658
2021-01-28,2021-06-30,inconsistent,0,86
2021-01-28,2021-06-30,consistent,2,6081
2021-01-27,2021-06-30,inconsistent,0,72
2021-01-27,2021-06-30,consistent,2,6198
2021-01-26,2021-06-30,inconsistent,0,52
2021-01-26,2021-06-30,consistent,1,4499
2021-01-25,2021-06-30,inconsistent,0,36
