data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-07-01,2021-05-03,inconsistent,0,98
2021-07-01,2021-05-03,consistent,5,14825
2021-07-01,2021-05-06,inconsistent,0,34
2021-07-01,2021-05-06,consistent,5,13407
2021-07-01,2021-05-08,inconsistent,0,12
2021-07-01,2021-05-08,consistent,2,3468
2021-07-01,2021-05-07,inconsistent,0,22
2021-07-01,2021-05-07,consistent,5,12116
2021-07-01,2021-05-04,inconsistent,0,66
2021-07-01,2021-05-04,consistent,9,20418
2021-07-01,2021-05-05,inconsistent,0,74
2021-07-01,2021-05-05,consistent,9,23366
2021-07-01,2021-05-09,inconsistent,0,2
2021-07-01,2021-05-09,consistent,1,946
