data_aplicaçao,data_atualizacao,tipo,media_tempo_gasto,total
2021-02-28,2021-07-01,inconsistent,0,21
2021-02-28,2021-07-01,consistent,2,2005
2021-02-27,2021-07-01,inconsistent,0,362
2021-02-27,2021-07-01,consistent,4,7381
2021-02-26,2021-07-01,inconsistent,0,477
2021-02-26,2021-07-01,consistent,5,12717
2021-02-25,2021-07-01,inconsistent,0,412
2021-02-25,2021-07-01,consistent,3,5620
2021-02-24,2021-07-01,inconsistent,0,212
2021-02-24,2021-07-01,consistent,3,7639
2021-02-23,2021-07-01,inconsistent,0,672
2021-02-23,2021-07-01,consistent,4,9555
2021-02-22,2021-07-01,inconsistent,0,232
2021-02-22,2021-07-01,consistent,4,11083
2021-02-21,2021-07-01,inconsistent,0,2
2021-02-21,2021-07-01,consistent,3,64
2021-02-20,2021-07-01,inconsistent,0,118
2021-02-20,2021-07-01,consistent,3,2049
2021-02-19,2021-07-01,inconsistent,0,595
2021-02-19,2021-07-01,consistent,6,18386
2021-02-18,2021-07-01,inconsistent,0,745
2021-02-18,2021-07-01,consistent,3,21237
2021-02-17,2021-07-01,inconsistent,0,386
2021-02-17,2021-07-01,consistent,6,21682
2021-02-16,2021-07-01,inconsistent,0,244
2021-02-16,2021-07-01,consistent,5,10967
2021-02-15,2021-07-01,inconsistent,0,231
2021-02-15,2021-07-01,consistent,5,16173
2021-02-14,2021-07-01,inconsistent,0,60
2021-02-14,2021-07-01,consistent,2,414
2021-02-13,2021-06-30,inconsistent,0,22
2021-02-13,2021-06-30,consistent,1,6545
2021-02-12,2021-06-30,inconsistent,0,462
2021-02-12,2021-06-30,consistent,3,17785
2021-02-11,2021-06-30,inconsistent,0,266
2021-02-11,2021-06-30,consistent,2,11731
2021-02-10,2021-06-30,inconsistent,0,206
2021-02-10,2021-06-30,consistent,2,12476
2021-02-09,2021-06-30,inconsistent,0,219
2021-02-09,2021-06-30,consistent,3,10460
2021-02-08,2021-06-30,inconsistent,0,168
2021-02-08,2021-06-30,consistent,1,5155
2021-02-07,2021-06-30,inconsistent,0,11
2021-02-07,2021-06-30,consistent,0,63
2021-02-06,2021-06-30,inconsistent,0,22
2021-02-06,2021-06-30,consistent,1,2461
2021-02-05,2021-06-30,inconsistent,0,344
2021-02-05,2021-06-30,consistent,1,7451
2021-02-04,2021-06-30,inconsistent,0,132
2021-02-04,2021-06-30,consistent,1,7659
2021-02-03,2021-06-30,inconsistent,0,134
2021-02-03,2021-06-30,consistent,2,8693
2021-02-02,2021-06-30,inconsistent,0,103
2021-02-02,2021-06-30,consistent,1,7951
2021-02-01,2021-06-30,inconsistent,0,124
2021-02-01,2021-06-30,consistent,1,7710
2021-01-31,2021-06-30,consistent,0,633
2021-01-30,2021-06-30,inconsistent,0,14
2021-01-30,2021-06-30,consistent,1,4184
2021-01-29,2021-06-30,inconsistent,0,605
2021-01-29,2021-06-30,consistent,2,13414
2021-01-28,2021-06-30,inconsistent,0,164
2021-01-28,2021-06-30,consistent,2,14944
2021-01-27,2021-06-30,inconsistent,0,298
2021-01-27,2021-06-30,consistent,2,15220
2021-01-26,2021-06-30,inconsistent,0,191
2021-01-26,2021-06-30,consistent,2,17979
2021-01-25,2021-06-30,inconsistent,0,380
2021-01-25,2021-06-30,consistent,2,16389
2021-01-24,2021-06-30,inconsistent,0,2
2021-01-24,2021-06-30,consistent,0,976
2021-01-23,2021-06-30,inconsistent,0,22
2021-01-23,2021-06-30,consistent,0,2560
2021-01-22,2021-06-30,inconsistent,0,361
2021-01-22,2021-06-30,consistent,2,13501
2021-01-21,2021-06-30,inconsistent,0,376
2021-01-21,2021-06-30,consistent,3,22343
2021-01-20,2021-06-30,inconsistent,0,332
2021-01-20,2021-06-30,consistent,4,24628
2021-01-19,2021-06-30,inconsistent,0,28
2021-01-19,2021-06-30,consistent,0,2103
2021-01-18,2021-06-30,consistent,0,33
2021-01-17,2021-06-30,consistent,0,5
2021-01-13,2021-06-30,wrong_date,1,2
2021-01-11,2021-06-30,wrong_date,1,3
2020-03-23,2021-06-30,wrong_date,0,4
2020-01-28,2021-06-30,wrong_date,0,1
2020-01-20,2021-06-30,wrong_date,0,1
2019-03-25,2021-06-30,wrong_date,1,1
