data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-07-01,2021-04-21,inconsistent,0,900
2021-07-01,2021-04-21,consistent,6,28757
2021-07-01,2021-04-19,inconsistent,0,1152
2021-07-01,2021-04-19,consistent,21,104096
2021-07-01,2021-04-20,inconsistent,0,1442
2021-07-01,2021-04-20,consistent,19,103579
2021-07-01,2021-04-24,inconsistent,0,608
2021-07-01,2021-04-24,consistent,10,58877
2021-07-01,2021-04-25,inconsistent,0,1674
2021-07-01,2021-04-25,consistent,5,24149
2021-07-01,2021-04-23,inconsistent,0,1306
2021-07-01,2021-04-23,consistent,23,98061
2021-07-01,2021-04-22,inconsistent,1,2640
2021-07-01,2021-04-22,consistent,33,168285
