data_aplicaçao,data_atualizacao,tipo,media_tempo_gasto,total
2021-07-05,2021-07-05,inconsistent,0,6
2021-07-05,2021-07-05,consistent,2,14402
2021-07-04,2021-07-05,consistent,2,1643
2021-07-03,2021-07-05,inconsistent,0,10
2021-07-03,2021-07-05,consistent,8,55888
2021-07-02,2021-07-05,inconsistent,0,18
2021-07-02,2021-07-05,consistent,9,61513
2021-07-01,2021-07-05,inconsistent,0,6
2021-07-01,2021-07-05,consistent,9,53162
2021-06-30,2021-07-05,inconsistent,0,12
2021-06-30,2021-07-05,consistent,9,56296
2021-06-29,2021-07-05,inconsistent,0,34
2021-06-29,2021-07-05,consistent,12,61641
2021-06-28,2021-07-05,inconsistent,0,28
2021-06-28,2021-07-05,consistent,7,51447
2021-06-27,2021-07-05,consistent,2,6797
2021-06-26,2021-07-05,inconsistent,0,14
2021-06-26,2021-07-05,consistent,3,18782
2021-06-24,2021-07-04,inconsistent,0,24
2021-06-24,2021-07-04,consistent,7,43396
2021-06-23,2021-07-05,inconsistent,0,24
2021-06-23,2021-07-05,consistent,9,65474
2021-06-22,2021-07-04,inconsistent,0,8
2021-06-22,2021-07-04,consistent,8,51200
2021-06-21,2021-07-04,inconsistent,0,122
2021-06-21,2021-07-04,consistent,8,59461
2021-06-20,2021-07-04,consistent,2,6376
2021-06-19,2021-07-04,inconsistent,0,72
2021-06-19,2021-07-04,consistent,8,40404
2021-06-18,2021-07-05,inconsistent,0,34
2021-06-18,2021-07-05,consistent,18,63269
2021-06-17,2021-07-05,inconsistent,0,22
2021-06-17,2021-07-05,consistent,13,66986
2021-06-16,2021-07-05,inconsistent,0,52
2021-06-16,2021-07-05,consistent,10,69585
2021-06-15,2021-07-05,inconsistent,0,54
2021-06-15,2021-07-05,consistent,22,75835
2021-06-14,2021-07-02,inconsistent,0,54
2021-06-14,2021-07-02,consistent,19,64595
2021-06-13,2021-07-02,consistent,3,724
2021-06-12,2021-07-02,inconsistent,0,42
2021-06-12,2021-07-02,consistent,14,46136
2021-06-11,2021-07-02,inconsistent,0,28
2021-06-11,2021-07-02,consistent,13,50319
2021-06-10,2021-07-02,inconsistent,0,64
2021-06-10,2021-07-02,consistent,16,55244
2021-06-09,2021-07-02,inconsistent,0,74
2021-06-09,2021-07-02,consistent,12,85897
2021-06-08,2021-07-02,inconsistent,0,52
2021-06-08,2021-07-02,consistent,14,66008
2021-06-07,2021-07-02,inconsistent,0,126
2021-06-07,2021-07-02,consistent,17,63542
2021-06-06,2021-07-02,consistent,2,475
2021-06-05,2021-07-01,inconsistent,0,12
2021-06-05,2021-07-01,consistent,4,35348
2021-06-04,2021-07-01,inconsistent,0,8
2021-06-04,2021-07-01,consistent,7,37119
2021-06-03,2021-07-01,inconsistent,0,22
2021-06-03,2021-07-01,consistent,5,23144
2021-06-02,2021-07-01,inconsistent,0,38
2021-06-02,2021-07-01,consistent,7,58643
2021-06-01,2021-07-01,inconsistent,0,54
2021-06-01,2021-07-01,consistent,8,56423
2021-05-31,2021-07-01,inconsistent,0,8
2021-05-31,2021-07-01,consistent,7,43435
2021-05-30,2021-07-01,consistent,3,611
2021-05-29,2021-07-01,inconsistent,0,22
2021-05-29,2021-07-01,consistent,7,47409
2021-05-28,2021-07-01,inconsistent,0,102
2021-05-28,2021-07-01,consistent,9,65934
2021-05-27,2021-07-01,inconsistent,0,68
2021-05-27,2021-07-01,consistent,10,70891
2021-05-26,2021-07-01,inconsistent,0,102
2021-05-26,2021-07-01,consistent,8,76946
2021-05-25,2021-07-01,inconsistent,0,112
2021-05-25,2021-07-01,consistent,10,75779
2021-05-24,2021-07-01,inconsistent,0,20
2021-05-24,2021-07-01,consistent,9,78295
2021-05-23,2021-07-01,inconsistent,0,2
2021-05-23,2021-07-01,consistent,2,282
2021-05-22,2021-07-01,inconsistent,0,12
2021-05-22,2021-07-01,consistent,6,46327
2021-05-21,2021-07-01,inconsistent,0,26
2021-05-21,2021-07-01,consistent,9,84591
2021-05-20,2021-07-01,inconsistent,0,149
2021-05-20,2021-07-01,consistent,9,66780
2021-05-19,2021-07-01,inconsistent,0,92
2021-05-19,2021-07-01,consistent,11,76734
2021-05-18,2021-07-01,inconsistent,0,142
2021-05-18,2021-07-01,consistent,10,72928
2021-05-17,2021-07-01,inconsistent,0,88
2021-05-17,2021-07-01,consistent,9,68812
2021-05-16,2021-07-01,inconsistent,0,6
2021-05-16,2021-07-01,consistent,5,11018
2021-05-15,2021-07-01,inconsistent,0,20
2021-05-15,2021-07-01,consistent,7,41360
2021-05-14,2021-07-01,inconsistent,0,98
2021-05-14,2021-07-01,consistent,16,96409
2021-05-13,2021-07-01,inconsistent,0,90
2021-05-13,2021-07-01,consistent,10,61378
2021-05-12,2021-07-01,inconsistent,0,78
2021-05-12,2021-07-01,consistent,15,60708
2021-05-11,2021-07-01,inconsistent,0,56
2021-05-11,2021-07-01,consistent,13,71687
2021-05-10,2021-07-01,inconsistent,0,58
2021-05-10,2021-07-01,consistent,10,59876
2021-05-09,2021-07-01,consistent,2,418
2021-05-08,2021-07-01,inconsistent,0,28
2021-05-08,2021-07-01,consistent,13,69348
2021-05-07,2021-07-01,inconsistent,0,104
2021-05-07,2021-07-01,consistent,11,65255
2021-05-06,2021-07-01,inconsistent,0,224
2021-05-06,2021-07-01,consistent,20,73897
2021-05-05,2021-07-01,inconsistent,0,84
2021-05-05,2021-07-01,consistent,13,75499
2021-05-04,2021-07-01,inconsistent,0,782
2021-05-04,2021-07-01,consistent,11,87043
2021-05-03,2021-07-01,inconsistent,0,670
2021-05-03,2021-07-01,consistent,17,78730
2021-05-02,2021-07-01,consistent,3,887
2021-05-01,2021-07-01,inconsistent,0,464
2021-05-01,2021-07-01,consistent,7,34191
2021-04-30,2021-07-01,inconsistent,0,954
2021-04-30,2021-07-01,consistent,20,104645
2021-04-29,2021-07-01,inconsistent,0,1292
2021-04-29,2021-07-01,consistent,23,119585
2021-04-28,2021-07-01,inconsistent,0,1146
2021-04-28,2021-07-01,consistent,24,130733
2021-04-27,2021-07-01,inconsistent,0,920
2021-04-27,2021-07-01,consistent,25,132210
2021-04-26,2021-07-01,inconsistent,0,90
2021-04-26,2021-07-01,consistent,25,130557
2021-04-25,2021-07-01,inconsistent,0,8
2021-04-25,2021-07-01,consistent,3,1015
2021-04-24,2021-07-01,inconsistent,0,216
