data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-07-01,2021-05-03,inconsistent,0,682
2021-07-01,2021-05-03,consistent,3,9466
2021-07-01,2021-05-04,inconsistent,0,402
2021-07-01,2021-05-04,consistent,3,13053
2021-07-01,2021-05-07,inconsistent,0,136
2021-07-01,2021-05-05,inconsistent,0,267
2021-07-01,2021-05-07,consistent,3,9187
2021-07-01,2021-05-05,consistent,3,13401
2021-07-01,2021-05-06,inconsistent,0,290
2021-07-01,2021-05-06,consistent,4,12159
2021-07-01,2021-05-08,inconsistent,0,12
2021-07-01,2021-05-08,consistent,2,3390
