data_aplicaçao,data_atualizacao,tipo,media_tempo_gasto,total
2021-02-17,2021-06-30,inconsistent,0,54
2021-02-17,2021-06-30,consistent,4,3162
2021-02-16,2021-06-30,inconsistent,0,24
2021-02-16,2021-06-30,consistent,2,985
2021-02-15,2021-06-30,inconsistent,0,22
2021-02-15,2021-06-30,consistent,3,1819
2021-02-14,2021-06-30,consistent,2,78
2021-02-13,2021-06-30,inconsistent,0,4
2021-02-13,2021-06-30,consistent,0,653
2021-02-12,2021-06-30,inconsistent,0,112
2021-02-12,2021-06-30,consistent,1,2702
2021-02-11,2021-06-30,inconsistent,0,60
2021-02-11,2021-06-30,consistent,1,2275
2021-02-10,2021-06-30,inconsistent,0,50
2021-02-10,2021-06-30,consistent,1,1909
2021-02-09,2021-06-30,inconsistent,0,12
2021-02-09,2021-06-30,consistent,2,1829
2021-02-08,2021-06-30,inconsistent,0,18
2021-02-08,2021-06-30,consistent,1,988
2021-02-07,2021-06-30,consistent,0,47
2021-02-06,2021-06-30,inconsistent,0,2
2021-02-06,2021-06-30,consistent,0,316
2021-02-05,2021-06-30,inconsistent,0,24
2021-02-05,2021-06-30,consistent,1,2607
2021-02-04,2021-06-30,inconsistent,0,16
2021-02-04,2021-06-30,consistent,2,3568
2021-02-03,2021-06-30,inconsistent,0,16
2021-02-03,2021-06-30,consistent,1,2493
2021-02-02,2021-06-30,inconsistent,0,46
2021-02-02,2021-06-30,consistent,1,2094
2021-02-01,2021-06-30,inconsistent,0,8
2021-02-01,2021-06-30,consistent,1,1479
2021-01-31,2021-06-30,consistent,0,402
2021-01-30,2021-06-30,inconsistent,0,6
2021-01-30,2021-06-30,consistent,1,1292
2021-01-29,2021-06-30,inconsistent,0,4
2021-01-29,2021-06-30,consistent,1,1858
2021-01-28,2021-06-30,inconsistent,0,16
2021-01-28,2021-06-30,consistent,1,1908
2021-01-27,2021-06-30,inconsistent,0,8
2021-01-27,2021-06-30,consistent,1,1884
2021-01-26,2021-06-30,inconsistent,0,12
2021-01-26,2021-06-30,consistent,1,1704
2021-01-25,2021-06-30,inconsistent,0,16
2021-01-25,2021-06-30,consistent,1,1315
2021-01-24,2021-06-30,inconsistent,0,8
2021-01-24,2021-06-30,consistent,0,454
2021-01-23,2021-06-30,inconsistent,0,10
2021-01-23,2021-06-30,consistent,1,897
2021-01-22,2021-06-30,inconsistent,0,280
2021-01-22,2021-06-30,consistent,1,2032
2021-01-21,2021-06-30,inconsistent,0,46
2021-01-21,2021-06-30,consistent,2,3406
2021-01-20,2021-06-30,inconsistent,0,14
2021-01-20,2021-06-30,consistent,2,1529
2021-01-19,2021-06-30,inconsistent,0,4
2021-01-19,2021-06-30,consistent,0,273
2021-01-18,2021-06-30,consistent,0,5
2021-01-17,2021-06-30,consistent,0,3
2021-01-07,2021-06-30,wrong_date,1,1
2020-12-27,2021-06-30,wrong_date,1,1
2020-03-23,2021-06-30,wrong_date,1,5
