data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-07-01,2021-05-31,consistent,2,4417
2021-07-01,2021-06-03,consistent,2,534
2021-07-01,2021-06-01,inconsistent,0,4
2021-07-01,2021-06-01,consistent,3,5560
2021-07-01,2021-06-02,inconsistent,0,10
2021-07-01,2021-06-02,consistent,3,11697
2021-07-01,2021-06-04,consistent,3,7343
2021-07-01,2021-06-05,consistent,2,3973
2021-07-01,2021-06-06,consistent,2,663
2021-07-06,2021-06-06,consistent,2,667
2021-07-07,2021-06-05,consistent,2,4038
2021-07-07,2021-06-04,consistent,2,7393
2021-07-07,2021-06-03,consistent,2,547
2021-07-07,2021-06-02,inconsistent,0,10
2021-07-07,2021-06-02,consistent,4,11800
