data_aplicaçao,data_atualizacao,tipo,media_tempo_gasto,total
2021-07-08,2021-07-08,consistent,1,1
2021-07-07,2021-07-08,consistent,1,474
2021-07-06,2021-07-08,consistent,2,636
2021-07-05,2021-07-08,consistent,2,2443
2021-07-04,2021-07-08,consistent,2,65
2021-07-03,2021-07-08,consistent,2,1271
2021-07-02,2021-07-08,consistent,2,2140
2021-07-01,2021-07-08,consistent,2,2619
2021-06-30,2021-07-07,consistent,2,4379
2021-06-29,2021-07-07,consistent,8,2066
2021-06-28,2021-07-07,consistent,3,1551
2021-06-27,2021-07-08,consistent,3,1405
2021-06-26,2021-07-08,consistent,2,2843
2021-06-25,2021-07-07,inconsistent,0,2
2021-06-25,2021-07-07,consistent,2,2968
2021-06-24,2021-07-06,consistent,3,2867
2021-06-23,2021-07-07,inconsistent,0,4
2021-06-23,2021-07-07,consistent,3,3861
2021-06-22,2021-07-06,consistent,2,4958
2021-06-21,2021-07-06,inconsistent,0,2
2021-06-21,2021-07-06,consistent,2,4812
2021-06-20,2021-07-07,consistent,2,72
2021-06-19,2021-07-07,consistent,2,1662
2021-06-18,2021-07-05,consistent,3,2949
2021-06-17,2021-07-05,inconsistent,0,4
2021-06-17,2021-07-05,consistent,2,2752
2021-06-16,2021-07-05,consistent,2,3112
2021-06-15,2021-07-05,inconsistent,0,2
2021-06-15,2021-07-05,consistent,2,2479
2021-06-14,2021-07-06,consistent,2,2989
2021-06-13,2021-07-06,consistent,2,360
2021-06-12,2021-07-06,consistent,2,1332
2021-06-11,2021-07-06,consistent,3,2495
2021-06-10,2021-07-07,consistent,2,2377
2021-06-09,2021-07-07,inconsistent,0,2
2021-06-09,2021-07-07,consistent,2,1685
2021-06-08,2021-07-07,consistent,3,2202
2021-06-07,2021-07-08,inconsistent,0,2
2021-06-07,2021-07-08,consistent,3,1637
2021-06-06,2021-07-08,consistent,2,29
2021-06-05,2021-07-07,consistent,2,1106
2021-06-04,2021-07-07,consistent,2,1014
2021-06-03,2021-07-07,consistent,2,1129
2021-06-02,2021-07-08,inconsistent,0,2
2021-06-02,2021-07-08,consistent,3,1617
2021-06-01,2021-07-08,consistent,2,1861
2021-05-31,2021-07-08,consistent,2,1441
2021-05-30,2021-07-01,consistent,1,12
2021-05-29,2021-07-01,consistent,2,433
2021-05-28,2021-07-01,inconsistent,0,4
2021-05-28,2021-07-01,consistent,2,1177
2021-05-27,2021-07-01,consistent,2,1634
2021-05-26,2021-07-01,inconsistent,0,2
2021-05-26,2021-07-01,consistent,2,1129
2021-05-25,2021-07-01,inconsistent,0,2
2021-05-25,2021-07-01,consistent,2,1206
2021-05-24,2021-07-01,inconsistent,0,4
2021-05-24,2021-07-01,consistent,2,1469
2021-05-23,2021-07-01,consistent,1,13
2021-05-22,2021-07-01,inconsistent,0,2
2021-05-22,2021-07-01,consistent,2,386
2021-05-21,2021-07-01,inconsistent,0,2
2021-05-21,2021-07-01,consistent,2,835
2021-05-20,2021-07-01,inconsistent,0,2
2021-05-20,2021-07-01,consistent,2,882
2021-05-19,2021-07-01,inconsistent,0,6
2021-05-19,2021-07-01,consistent,2,1113
2021-05-18,2021-07-01,inconsistent,0,2
2021-05-18,2021-07-01,consistent,2,1581
2021-05-17,2021-07-01,inconsistent,0,2
2021-05-17,2021-07-01,consistent,2,912
