data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-06-30,2021-03-08,inconsistent,0,2
2021-06-30,2021-03-08,consistent,2,1056
2021-06-30,2021-03-09,inconsistent,0,6
2021-06-30,2021-03-09,consistent,2,987
2021-06-30,2021-03-10,inconsistent,0,10
2021-06-30,2021-03-10,consistent,2,963
2021-06-30,2021-03-11,inconsistent,0,8
2021-06-30,2021-03-11,consistent,2,799
2021-06-30,2021-03-12,inconsistent,0,2
2021-06-30,2021-03-12,consistent,2,779
2021-06-30,2021-03-13,inconsistent,0,2
2021-06-30,2021-03-13,consistent,2,311
2021-06-30,2021-03-14,consistent,2,186
