data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-07-01,2021-04-19,inconsistent,0,1244
2021-07-01,2021-04-19,consistent,24,101990
2021-07-01,2021-04-21,inconsistent,0,120
2021-07-01,2021-04-21,consistent,5,19244
2021-07-01,2021-04-20,inconsistent,0,954
2021-07-01,2021-04-20,consistent,26,107810
2021-07-01,2021-04-25,inconsistent,0,14
2021-07-01,2021-04-25,consistent,2,1310
2021-07-01,2021-04-24,inconsistent,0,150
2021-07-01,2021-04-24,consistent,14,66291
2021-07-01,2021-04-23,inconsistent,0,368
2021-07-01,2021-04-23,consistent,21,84286
2021-07-01,2021-04-22,inconsistent,0,1112
2021-07-01,2021-04-22,consistent,25,101192
