data_aplicaçao,data_atualizacao,tipo,media_tempo_gasto,total
2021-07-05,2021-07-05,consistent,2,348
2021-07-04,2021-07-05,consistent,2,2791
2021-07-03,2021-07-05,inconsistent,0,8
2021-07-03,2021-07-05,consistent,7,26317
2021-07-02,2021-07-05,inconsistent,0,2
2021-07-02,2021-07-05,consistent,5,30515
2021-07-01,2021-07-05,inconsistent,0,6
2021-07-01,2021-07-05,consistent,2,16147
2021-06-30,2021-07-05,inconsistent,0,2
2021-06-30,2021-07-05,consistent,2,16443
2021-06-29,2021-07-05,inconsistent,0,114
2021-06-29,2021-07-05,consistent,3,24390
2021-06-28,2021-07-05,inconsistent,0,20
2021-06-28,2021-07-05,consistent,4,28021
2021-06-27,2021-07-05,consistent,2,2612
2021-06-26,2021-07-05,inconsistent,0,4
2021-06-26,2021-07-05,consistent,4,21975
2021-06-25,2021-07-04,inconsistent,0,2
2021-06-25,2021-07-04,consistent,2,21125
2021-06-24,2021-07-04,inconsistent,0,6
2021-06-24,2021-07-04,consistent,3,16491
2021-06-23,2021-07-05,inconsistent,0,6
2021-06-23,2021-07-05,consistent,3,26486
2021-06-22,2021-07-04,inconsistent,0,20
2021-06-22,2021-07-04,consistent,4,29963
2021-06-21,2021-07-04,inconsistent,0,6
2021-06-21,2021-07-04,consistent,5,25718
2021-06-20,2021-07-04,consistent,2,2639
2021-06-19,2021-07-04,inconsistent,0,28
2021-06-19,2021-07-04,consistent,6,24622
2021-06-18,2021-07-05,inconsistent,0,14
2021-06-18,2021-07-05,consistent,5,25519
2021-06-17,2021-07-05,inconsistent,0,20
2021-06-17,2021-07-05,consistent,5,31718
2021-06-16,2021-07-02,inconsistent,0,46
2021-06-16,2021-07-02,consistent,9,39737
2021-06-15,2021-07-02,inconsistent,0,38
2021-06-15,2021-07-02,consistent,12,46115
2021-06-14,2021-07-02,inconsistent,0,18
2021-06-14,2021-07-02,consistent,12,40149
2021-06-13,2021-07-02,inconsistent,0,2
2021-06-13,2021-07-02,consistent,2,9016
2021-06-12,2021-07-02,inconsistent,0,18
2021-06-12,2021-07-02,consistent,11,44550
2021-06-11,2021-07-02,inconsistent,0,34
2021-06-11,2021-07-02,consistent,10,45373
2021-06-10,2021-07-02,inconsistent,0,74
2021-06-10,2021-07-02,consistent,9,42219
2021-06-09,2021-07-02,inconsistent,0,38
2021-06-09,2021-07-02,consistent,12,45371
2021-06-08,2021-07-02,inconsistent,0,78
2021-06-08,2021-07-02,consistent,9,44888
2021-06-07,2021-07-02,inconsistent,0,88
2021-06-07,2021-07-02,consistent,8,36962
2021-06-06,2021-07-02,consistent,2,3051
2021-06-05,2021-07-02,inconsistent,0,12
2021-06-05,2021-07-02,consistent,4,20395
2021-06-04,2021-07-02,inconsistent,0,10
2021-06-04,2021-07-02,consistent,3,22637
2021-06-03,2021-07-02,consistent,2,9791
2021-06-02,2021-07-02,inconsistent,0,24
2021-06-02,2021-07-02,consistent,4,34860
2021-06-01,2021-07-02,inconsistent,0,50
2021-06-01,2021-07-02,consistent,4,34329
2021-05-31,2021-07-02,inconsistent,0,40
2021-05-31,2021-07-02,consistent,5,29949
2021-05-30,2021-07-02,consistent,2,2387
2021-05-29,2021-07-02,inconsistent,0,54
2021-05-29,2021-07-02,consistent,3,24111
2021-05-28,2021-07-02,inconsistent,0,32
2021-05-28,2021-07-02,consistent,4,33976
2021-05-27,2021-07-02,inconsistent,0,60
2021-05-27,2021-07-02,consistent,4,32518
2021-05-26,2021-07-02,inconsistent,0,58
2021-05-26,2021-07-02,consistent,4,29062
2021-05-25,2021-07-02,inconsistent,0,98
2021-05-25,2021-07-02,consistent,4,25439
2021-05-24,2021-07-02,inconsistent,0,58
2021-05-24,2021-07-02,consistent,3,18978
2021-05-23,2021-07-02,inconsistent,0,2
2021-05-23,2021-07-02,consistent,3,6110
2021-05-22,2021-07-02,inconsistent,0,44
2021-05-22,2021-07-02,consistent,2,11274
2021-05-21,2021-07-02,inconsistent,0,90
2021-05-21,2021-07-02,consistent,4,20099
2021-05-20,2021-07-02,inconsistent,0,100
2021-05-20,2021-07-02,consistent,4,22812
2021-05-19,2021-07-02,inconsistent,0,172
2021-05-19,2021-07-02,consistent,4,23943
2021-05-18,2021-07-02,inconsistent,0,92
2021-05-18,2021-07-02,consistent,4,21336
2021-05-17,2021-07-02,inconsistent,0,82
2021-05-17,2021-07-02,consistent,3,18413
2021-05-16,2021-07-02,inconsistent,0,4
2021-05-16,2021-07-02,consistent,2,6545
2021-05-15,2021-07-02,inconsistent,0,28
2021-05-15,2021-07-02,consistent,4,18744
2021-05-14,2021-07-02,inconsistent,0,136
2021-05-14,2021-07-02,consistent,4,19417
2021-05-13,2021-07-02,inconsistent,0,142
