data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-07-05,2021-07-05,consistent,2,348
2021-07-05,2021-07-05,consistent,2,4252
2021-07-05,2021-07-05,consistent,2,11704
2021-07-05,2021-07-05,consistent,3,17630
2021-07-06,2021-07-05,consistent,3,21872
2021-07-06,2021-07-05,consistent,6,24791
2021-07-06,2021-07-05,consistent,4,24818
2021-07-06,2021-07-05,consistent,3,24818
2021-07-06,2021-07-06,consistent,1,483
2021-07-06,2021-07-05,consistent,4,25508
2021-07-06,2021-07-06,inconsistent,0,2
2021-07-06,2021-07-06,consistent,2,4318
2021-07-06,2021-07-05,inconsistent,0,4
2021-07-06,2021-07-05,consistent,4,26341
2021-07-06,2021-07-06,inconsistent,0,2
2021-07-06,2021-07-06,consistent,2,16860
2021-07-06,2021-07-05,inconsistent,0,4
2021-07-06,2021-07-05,consistent,5,28443
2021-07-07,2021-07-06,inconsistent,0,2
2021-07-07,2021-07-06,consistent,3,22089
2021-07-07,2021-07-05,inconsistent,0,4
2021-07-07,2021-07-05,consistent,4,29412
2021-07-07,2021-07-06,inconsistent,0,2
2021-07-07,2021-07-06,consistent,5,24548
2021-07-07,2021-07-06,inconsistent,0,2
2021-07-07,2021-07-06,consistent,4,24675
2021-07-07,2021-07-05,inconsistent,0,4
2021-07-07,2021-07-05,consistent,5,29654
