data_aplicaçao,data_atualizacao,tipo,media_tempo_gasto,total
2021-04-05,2021-06-30,inconsistent,2,5300
2021-04-05,2021-06-30,consistent,4,8322
2021-04-04,2021-06-30,inconsistent,2,1078
2021-04-04,2021-06-30,consistent,2,771
2021-04-03,2021-06-30,inconsistent,3,2516
2021-04-03,2021-06-30,consistent,2,2166
2021-04-02,2021-06-30,inconsistent,5,4058
2021-04-02,2021-06-30,consistent,3,2194
2021-04-01,2021-06-30,inconsistent,2,1954
2021-04-01,2021-06-30,consistent,3,2530
2021-03-31,2021-06-30,inconsistent,1,3686
2021-03-31,2021-06-30,consistent,4,10979
2021-03-30,2021-06-30,inconsistent,3,3296
2021-03-30,2021-06-30,consistent,15,14976
2021-03-29,2021-06-30,inconsistent,2,1756
2021-03-29,2021-06-30,consistent,8,8409
2021-03-28,2021-06-30,inconsistent,1,990
2021-03-28,2021-06-30,consistent,2,1198
2021-03-27,2021-06-30,inconsistent,1,606
2021-03-27,2021-06-30,consistent,5,3285
2021-03-26,2021-06-30,inconsistent,2,2664
2021-03-26,2021-06-30,consistent,5,9203
2021-03-25,2021-06-30,inconsistent,1,1282
2021-03-25,2021-06-30,consistent,8,11927
2021-03-24,2021-06-30,inconsistent,2,2785
2021-03-24,2021-06-30,consistent,7,10568
2021-03-23,2021-06-30,inconsistent,1,1244
2021-03-23,2021-06-30,consistent,5,6878
2021-03-22,2021-06-30,inconsistent,5,2716
2021-03-22,2021-06-30,consistent,8,4470
2021-03-21,2021-06-30,inconsistent,0,2
2021-03-21,2021-06-30,consistent,2,122
2021-03-20,2021-06-30,inconsistent,1,502
2021-03-20,2021-06-30,consistent,2,1143
2021-03-19,2021-06-30,inconsistent,2,2598
2021-03-19,2021-06-30,consistent,2,2616
2021-03-18,2021-06-30,inconsistent,0,50
2021-03-18,2021-06-30,consistent,3,1082
2021-03-17,2021-06-30,inconsistent,0,24
2021-03-17,2021-06-30,consistent,2,1084
2021-03-16,2021-06-30,inconsistent,0,416
2021-03-16,2021-06-30,consistent,2,2282
2021-03-15,2021-06-30,inconsistent,1,1162
2021-03-15,2021-06-30,consistent,2,3233
2021-03-14,2021-06-30,inconsistent,0,2
2021-03-14,2021-06-30,consistent,2,77
2021-03-13,2021-06-30,inconsistent,1,294
2021-03-13,2021-06-30,consistent,2,872
2021-03-12,2021-06-30,inconsistent,1,1753
2021-03-12,2021-06-30,consistent,2,3246
2021-03-11,2021-06-30,inconsistent,1,642
2021-03-11,2021-06-30,consistent,2,2531
2021-03-10,2021-06-30,inconsistent,1,1343
2021-03-10,2021-06-30,consistent,2,3607
2021-03-09,2021-06-30,inconsistent,1,2808
2021-03-09,2021-06-30,consistent,2,5791
2021-03-08,2021-06-30,inconsistent,1,1026
2021-03-08,2021-06-30,consistent,2,3661
2021-03-07,2021-06-30,inconsistent,1,428
2021-03-07,2021-06-30,consistent,1,395
2021-03-06,2021-06-30,inconsistent,1,952
2021-03-06,2021-06-30,consistent,2,2250
2021-03-05,2021-06-30,inconsistent,1,3155
2021-03-05,2021-06-30,consistent,3,7124
2021-03-04,2021-06-30,inconsistent,1,3008
2021-03-04,2021-06-30,consistent,3,7619
2021-03-03,2021-06-30,inconsistent,1,1306
2021-03-03,2021-06-30,consistent,3,6024
2021-03-02,2021-06-30,inconsistent,1,1708
2021-03-02,2021-06-30,consistent,3,5724
2021-03-01,2021-06-30,inconsistent,0,173
2021-03-01,2021-06-30,consistent,1,806
2021-02-28,2021-06-30,consistent,1,31
2021-02-27,2021-06-30,inconsistent,0,14
2021-02-27,2021-06-30,consistent,2,175
2021-02-26,2021-06-30,inconsistent,0,100
2021-02-26,2021-06-30,consistent,2,998
2021-02-25,2021-06-30,inconsistent,0,103
2021-02-25,2021-06-30,consistent,2,1030
2021-02-24,2021-06-30,inconsistent,0,134
2021-02-24,2021-06-30,consistent,2,1779
2021-02-23,2021-06-30,inconsistent,0,58
2021-02-23,2021-06-30,consistent,2,1758
2021-02-22,2021-06-30,inconsistent,0,96
2021-02-22,2021-06-30,consistent,2,1809
2021-02-21,2021-06-30,consistent,2,7
2021-02-20,2021-06-30,consistent,3,227
2021-02-19,2021-06-30,inconsistent,0,115
2021-02-19,2021-06-30,consistent,3,2792
2021-02-18,2021-06-30,inconsistent,0,282
2021-02-18,2021-06-30,consistent,3,4696
2021-02-17,2021-06-30,inconsistent,0,208
2021-02-17,2021-06-30,consistent,2,1895
2021-02-16,2021-06-30,inconsistent,0,134
2021-02-16,2021-06-30,consistent,2,1619
2021-02-15,2021-06-30,inconsistent,0,290
2021-02-15,2021-06-30,consistent,2,2238
2021-02-14,2021-06-30,inconsistent,0,4
2021-02-14,2021-06-30,consistent,1,46
2021-02-13,2021-06-30,inconsistent,0,163
2021-02-13,2021-06-30,consistent,0,1192
2021-02-12,2021-06-30,inconsistent,0,523
2021-02-12,2021-06-30,consistent,1,4934
2021-02-11,2021-06-30,inconsistent,0,971
2021-02-11,2021-06-30,consistent,1,6676
2021-02-10,2021-06-30,inconsistent,0,1178
2021-02-10,2021-06-30,consistent,1,5298
2021-02-09,2021-06-30,inconsistent,0,132
2021-02-09,2021-06-30,consistent,1,1213
2021-02-08,2021-06-30,inconsistent,0,10
2021-02-08,2021-06-30,consistent,0,823
2021-02-07,2021-06-30,consistent,0,56
2021-02-06,2021-06-30,inconsistent,0,138
2021-02-06,2021-06-30,consistent,1,2483
2021-02-05,2021-06-30,inconsistent,0,38
2021-02-05,2021-06-30,consistent,1,1141
2021-02-04,2021-06-30,inconsistent,0,40
2021-02-04,2021-06-30,consistent,1,1494
2021-02-03,2021-06-30,inconsistent,0,90
2021-02-03,2021-06-30,consistent,1,1672
2021-02-02,2021-06-30,inconsistent,0,50
2021-02-02,2021-06-30,consistent,1,1836
2021-02-01,2021-06-30,inconsistent,0,83
2021-02-01,2021-06-30,consistent,1,1135
2021-01-31,2021-06-30,consistent,0,22
2021-01-30,2021-06-30,inconsistent,0,2
2021-01-30,2021-06-30,consistent,0,51
2021-01-29,2021-06-30,inconsistent,0,48
2021-01-29,2021-06-30,consistent,1,1420
2021-01-28,2021-06-30,inconsistent,0,96
2021-01-28,2021-06-30,consistent,0,1558
2021-01-27,2021-06-30,inconsistent,0,194
2021-01-27,2021-06-30,consistent,1,2125
2021-01-26,2021-06-30,inconsistent,0,191
2021-01-26,2021-06-30,consistent,1,2715
2021-01-25,2021-06-30,inconsistent,0,224
2021-01-25,2021-06-30,consistent,1,2683
2021-01-24,2021-06-30,consistent,0,22
2021-01-23,2021-06-30,inconsistent,0,26
2021-01-23,2021-06-30,consistent,0,211
2021-01-22,2021-06-30,inconsistent,0,234
2021-01-22,2021-06-30,consistent,1,2665
2021-01-21,2021-06-30,inconsistent,0,322
2021-01-21,2021-06-30,consistent,2,4047
2021-01-20,2021-06-30,inconsistent,0,298
2021-01-20,2021-06-30,consistent,2,3604
2021-01-19,2021-06-30,inconsistent,0,172
2021-01-19,2021-06-30,consistent,0,855
2021-01-18,2021-06-30,consistent,0,10
2021-01-17,2021-06-30,consistent,0,3
