data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-07-02,2021-06-07,inconsistent,0,2
2021-07-02,2021-06-07,consistent,3,10062
2021-07-02,2021-06-09,inconsistent,0,2
2021-07-02,2021-06-09,consistent,3,11061
2021-07-02,2021-06-08,inconsistent,0,34
2021-07-02,2021-06-08,consistent,3,11631
2021-07-02,2021-06-10,inconsistent,0,2
2021-07-02,2021-06-10,consistent,4,10378
2021-07-02,2021-06-13,consistent,3,4041
2021-07-02,2021-06-12,consistent,3,7592
2021-07-02,2021-06-11,inconsistent,0,10
2021-07-02,2021-06-11,consistent,4,10023
2021-07-06,2021-06-13,consistent,2,4044
