data_aplicaçao,data_atualizacao,tipo,media_tempo_gasto,total
2021-01-20,2021-06-30,inconsistent,1,4577
2021-01-20,2021-06-30,consistent,5,27208
2021-01-19,2021-06-30,inconsistent,0,1715
2021-01-19,2021-06-30,consistent,2,7680
2021-01-18,2021-06-30,inconsistent,0,284
2021-01-18,2021-06-30,consistent,0,909
2021-01-17,2021-06-30,inconsistent,0,17
2021-01-17,2021-06-30,consistent,0,234
2021-01-16,2021-06-30,wrong_date,0,1
2021-01-12,2021-06-30,wrong_date,1,11
2021-01-10,2021-06-30,wrong_date,0,2
2021-01-04,2021-06-30,wrong_date,0,1
2021-01-01,2021-06-30,wrong_date,0,2
2020-03-23,2021-06-30,wrong_date,0,55
