data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-06-30,2021-05-02,inconsistent,0,2
2021-06-30,2021-05-02,consistent,2,6712
2021-06-30,2021-05-01,inconsistent,0,26
2021-06-30,2021-05-01,consistent,3,15433
2021-06-30,2021-04-30,inconsistent,0,1060
2021-06-30,2021-04-30,consistent,10,56299
2021-06-30,2021-04-29,inconsistent,0,1956
2021-06-30,2021-04-29,consistent,29,134808
2021-06-30,2021-04-28,inconsistent,0,2170
2021-06-30,2021-04-28,consistent,19,144698
2021-06-30,2021-04-27,inconsistent,0,1206
2021-06-30,2021-04-27,consistent,21,123172
2021-06-30,2021-04-26,inconsistent,0,1392
2021-06-30,2021-04-26,consistent,26,162164
