data_aplicaçao,data_atualizacao,tipo,media_tempo_gasto,total
2021-04-14,2021-07-01,inconsistent,0,20
2021-04-14,2021-07-01,consistent,3,1652
2021-04-13,2021-07-01,inconsistent,0,2
2021-04-13,2021-07-01,consistent,3,2064
2021-04-12,2021-07-01,inconsistent,0,18
2021-04-12,2021-07-01,consistent,3,1760
2021-04-11,2021-07-01,inconsistent,0,2
2021-04-11,2021-07-01,consistent,2,34
2021-04-10,2021-07-01,inconsistent,0,6
2021-04-10,2021-07-01,consistent,3,564
2021-04-09,2021-07-01,inconsistent,0,46
2021-04-09,2021-07-01,consistent,3,3273
2021-04-08,2021-07-01,inconsistent,0,22
2021-04-08,2021-07-01,consistent,3,4248
2021-04-07,2021-07-01,inconsistent,0,46
2021-04-07,2021-07-01,consistent,2,4266
2021-04-06,2021-07-01,inconsistent,0,85
2021-04-06,2021-07-01,consistent,3,5666
2021-04-05,2021-07-01,inconsistent,0,50
2021-04-05,2021-07-01,consistent,4,6186
2021-04-04,2021-07-01,consistent,2,73
2021-04-03,2021-07-01,consistent,2,561
2021-04-02,2021-07-01,inconsistent,0,2
2021-04-02,2021-07-01,consistent,2,241
2021-04-01,2021-07-01,inconsistent,0,16
2021-04-01,2021-07-01,consistent,4,6136
2021-03-31,2021-07-01,inconsistent,0,92
2021-03-31,2021-07-01,consistent,4,9885
2021-03-30,2021-07-01,inconsistent,0,154
2021-03-30,2021-07-01,consistent,6,7615
2021-03-29,2021-07-01,inconsistent,0,112
2021-03-29,2021-07-01,consistent,5,5947
2021-03-28,2021-07-01,inconsistent,0,4
2021-03-28,2021-07-01,consistent,2,361
2021-03-27,2021-07-01,inconsistent,0,8
2021-03-27,2021-07-01,consistent,5,6913
2021-03-26,2021-07-01,inconsistent,0,166
2021-03-26,2021-07-01,consistent,8,10922
2021-03-25,2021-07-01,inconsistent,0,61
2021-03-25,2021-07-01,consistent,5,9424
2021-03-24,2021-07-01,inconsistent,0,98
2021-03-24,2021-07-01,consistent,4,2721
2021-03-23,2021-07-01,inconsistent,0,30
2021-03-23,2021-07-01,consistent,3,2265
2021-03-22,2021-07-01,inconsistent,0,44
2021-03-22,2021-07-01,consistent,2,2604
2021-03-21,2021-07-01,consistent,3,54
2021-03-20,2021-07-01,inconsistent,0,8
2021-03-20,2021-07-01,consistent,3,311
