data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-07-01,2021-04-19,inconsistent,0,10
2021-07-01,2021-04-19,consistent,3,3682
2021-07-01,2021-04-20,inconsistent,0,4
2021-07-01,2021-04-20,consistent,4,5203
2021-07-01,2021-04-21,inconsistent,0,6
2021-07-01,2021-04-21,consistent,4,6551
2021-07-01,2021-04-22,inconsistent,0,10
2021-07-01,2021-04-22,consistent,5,11572
2021-07-01,2021-04-23,inconsistent,0,4
2021-07-01,2021-04-23,consistent,4,10897
2021-07-01,2021-04-25,consistent,2,455
2021-07-01,2021-04-24,inconsistent,0,6
2021-07-01,2021-04-24,consistent,2,3942
